              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Wind Speed (avg)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  Wind Direction (max)  Wind Direction (avg)  Saline Concentration%  Road Condition Lufftlogic  Surface TemperatureF  Freezing TemperatureF  Sub Surface Temperature 1F  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-05-01T04:02:00+00:00       87.168541                           69.0         2.213547          38.390144    34.906666            14.139050            17.010069                        972.259888                     0.000000             354.392181             350.062408                   85.0                        0.0              41.070709               85.000000                    49.346756              5.076296          85.0                                15.0
2023-05-01T04:12:00+00:00       87.568909                           69.0       351.432678          38.249325    34.883335            11.457656            14.145143                        972.134705                     1.110236             358.821533             353.374023                   85.0                        0.0              40.919014               85.000000                    49.332588              7.304914          85.0                                15.0
2023-05-01T04:22:00+00:00       88.449501                           69.0       355.181946          38.107918    34.995842            10.979602            14.979881                        971.936768                     0.236220             355.807251             353.465149                   85.0                        0.0              40.862316               85.000000                    49.313683             13.157146          85.0                                20.0
2023-05-01T04:32:00+00:00       88.386314                           69.0       354.670349          38.067410    34.937912            12.209734            16.588350                        971.898499                     0.000000               1.816289               2.504093                   85.0                        0.0              40.875416               85.000000                    49.294800              5.881075          85.0                                15.0
2023-05-01T04:42:00+00:00       89.109398                            0.0       339.792145          37.823326    34.902210            17.761419            13.460933                        971.937744                     0.000000             355.287262             348.304077                   85.0                        0.0              40.709305               85.000000                    49.280617              4.085800          85.0                                15.0
2023-05-01T04:52:00+00:00       89.679817                            0.0       350.564667          37.680138    34.921448            12.039528            12.050667                        972.025024                     0.000000             355.261169             349.619110                   85.0                        0.0              40.687389               85.000000                    49.261719              8.295411          85.0                                20.0
2023-05-01T05:02:00+00:00       89.655930                            0.0       353.752319          37.536331    34.772720             9.490423             8.105602                        971.927612                     0.000000             358.613495             356.212677                   85.0                        0.0              40.604023               85.000000                    49.242813              4.766766          85.0                                15.0
2023-05-01T05:12:00+00:00       90.113266                           69.0       329.557831          37.392376    34.758488            10.497809            12.061072                        971.859680                     0.070866             350.243134             347.206665                   85.0                        0.0              40.485229               85.000000                    49.223869              5.014390          85.0                                15.0
2023-05-01T05:22:00+00:00       90.525627                           69.0       352.354126          36.979538    34.465187            17.081432            14.706600                        971.761353                     0.070866             338.868439             345.244263                   85.0                        0.0              40.215508               85.000000                    49.200203              6.562042          85.0                                15.0
2023-05-01T05:32:00+00:00       91.247505                           69.0       349.805786          36.721321    34.409248            11.187233             9.877811                        971.682556                     0.000000             357.536652             338.815643                   85.0                        0.0              39.943901               85.000000                    49.181271              7.923975          85.0                                20.0
2023-05-01T05:42:00+00:00       91.475739                           69.0       331.470490          36.561405    34.313690             8.992296            11.669471                        971.729919                     0.070866             355.974762             343.957855                   85.0                        0.0              39.894737               85.000000                    49.157585              5.323921          85.0                                15.0
2023-05-01T05:52:00+00:00       91.395164                           69.0       336.766510          36.420826    34.152435            10.302779            11.071067                        971.521240                     0.070866             340.114075             337.132813                   85.0                        0.0              39.728859               85.000000                    49.138634              4.581048          85.0                                15.0
2023-05-01T06:02:00+00:00       92.230942                           69.0       338.746826          35.995464    33.959423            14.965076            13.028792                        971.276855                     0.000000             341.018280             345.205811                   85.0                        0.0              39.304279               85.000000                    49.114922              4.952485          85.0                                15.0
2023-05-01T06:12:00+00:00       92.320053                           69.0       337.990143          35.852440    33.841904            12.856924            10.422415                        971.200317                     0.047244             332.372345             337.483154                    0.0                        0.0              39.096195               31.885904                    49.091202              5.881075           0.0                                15.0
2023-05-01T06:22:00+00:00       92.247620                           69.0       331.748779          35.429649    33.403332            14.085894            11.438682                        971.045044                     0.118110             331.057953             337.035522                    0.0                        0.0              38.692387               31.885904                    49.067467             10.028632           0.0                                20.0
2023-05-01T06:32:00+00:00       93.312737                           69.0       344.322357          35.015457    33.279541            12.185381            11.639174                        970.893311                     0.000000             339.508759             333.088501                    0.0                        0.0              38.049614               31.885904                    49.043716              6.500136           0.0                                15.0
2023-05-01T06:42:00+00:00       93.587692                           69.0       314.633392          34.796322    33.135571            11.699468             9.946646                        970.711548                     0.141732             331.802032             329.642670                    0.0                        0.0              37.647858               31.885904                    49.019958              7.181102           0.0                                15.0
2023-05-01T06:52:00+00:00       94.232292                           69.0       337.387878          34.736294    33.247379            12.265073             9.509050                        970.735779                     0.094488             323.297546             327.817993                    0.0                        0.0              37.490463               31.885904                    48.996185              5.447732           0.0                                15.0
2023-05-01T07:02:00+00:00       94.000191                           69.0       320.820343          34.876190    33.324703             8.657419             8.174813                        970.660706                     0.000000             315.794189             337.157776                    0.0                        0.0              37.759861               31.885904                    48.972404              5.014390           0.0                                15.0
2023-05-01T07:12:00+00:00       94.057236                           69.0       330.637817          34.876190    33.339863             8.109336            10.152568                        970.540344                     0.070866             330.134094             331.455811                    0.0                        0.0              37.575974               31.885904                    48.948605              4.642954           0.0                                15.0
2023-05-01T07:22:00+00:00       94.374802                           69.0       319.460297          34.736294    33.285126            10.842793             9.599486                        970.446716                     0.141732             336.237976             327.739594                    0.0                        0.0              37.400227               31.885904                    48.924797              5.695357           0.0                                15.0
2023-05-01T07:32:00+00:00       94.557129                           70.0       334.083160          34.312912    32.912663             5.269172            11.945518                        970.263062                     0.000000             318.720581             312.311584                    0.0                        0.0              36.987701               31.885904                    48.896229              5.447732           0.0                                15.0
2023-05-01T07:42:00+00:00       95.131256                           69.0       319.032837          34.170521    32.922100            10.380193             8.896735                        970.141113                     0.141732             301.813904             321.560913                    0.0                        0.0              36.276398               31.885904                    48.867615             10.028632           0.0                                20.0
2023-05-01T07:52:00+00:00       95.238647                           69.0       313.630127          34.454659    33.232807             7.708520             9.583460                        970.003784                     0.118110             325.366180             320.791046                    0.0                        0.0              36.753582               31.885904                    48.843761              9.794798           0.0                                20.0
2023-05-01T08:02:00+00:00       94.870453                           69.0       314.284088          34.796322    33.475700             9.641694             7.702686                        969.846375                     0.000000             333.245087             305.949158                    0.0                        0.0              36.948799               31.885904                    48.815147              6.500136           0.0                                15.0
2023-05-01T08:12:00+00:00       94.713165                           69.0       300.237396          34.876190    33.513592            12.820534             9.912144                        969.642456                     0.047244             323.490967             318.656036                    0.0                        0.0              36.657764               31.885904                    48.786476              5.323921           0.0                                15.0
2023-05-01T08:22:00+00:00       95.252045                           69.0       308.273804          35.015457    33.794018            13.772199             9.403062                        969.325073                     0.047244             324.206055             319.059418                    0.0                        0.0              37.147263               31.885904                    48.753033              4.952485           0.0                                15.0
2023-05-01T08:32:00+00:00       94.913132                           69.0       317.366425          34.876190    33.566341             9.734412             7.611598                        969.289490                     0.000000             295.564178             299.328522                    0.0                        0.0              36.901165               31.885904                    48.724358              5.076296           0.0                                15.0
2023-05-01T08:42:00+00:00       94.606522                           69.0       311.476105          34.756313    33.366291            13.969907             9.430395                        969.241943                     0.094488             302.696747             315.398987                    0.0                        0.0              36.355637               31.885904                    48.695633              6.128700           0.0                                15.0
2023-05-01T08:52:00+00:00       95.463799                           69.0       328.160370          34.434444    33.271683             7.826693             9.480035                        969.129333                     0.118110             318.846924             318.071411                    0.0                        0.0              36.360016               31.885904                    48.662125              5.262014           0.0                                15.0
2023-05-01T09:02:00+00:00       95.060127                           69.0       322.474213          34.414223    33.145744            12.532405            13.127757                        969.031921                     0.000000             317.419434             321.880463                    0.0                        0.0              36.399555               31.885904                    48.633362              7.490633           0.0                                15.0
2023-05-01T09:12:00+00:00       95.177872                           69.0       315.313416          34.595795    33.357204             9.195741            10.989993                        968.950500                     0.023622             329.314850             323.218384                    0.0                        0.0              36.731827               31.885904                    48.599808              5.881075           0.0                                15.0
2023-05-01T09:22:00+00:00       95.231285                           69.0       313.248962          34.736294    33.510944            14.009183            11.422489                        968.868774                     0.070866             318.837158             319.515320                    0.0                        0.0              36.679565               31.885904                    48.566223              3.776269           0.0                                15.0
2023-05-01T09:32:00+00:00       94.414497                           69.0       322.024353          34.474854    33.035904             9.746404             9.203018                        968.949951                     0.000000             314.339203             332.322083                    0.0                        0.0              36.535469               31.885904                    48.532623              4.581048           0.0                                15.0
2023-05-01T09:42:00+00:00       94.785301                           69.0       317.755341          34.312912    32.972782            11.328301            12.038882                        968.800903                     0.118110             319.550171             321.508942                    0.0                        0.0              36.338028               31.885904                    48.498993              6.190606           0.0                                15.0
2023-05-01T09:52:00+00:00       95.474106                           69.0       314.310577          34.170521    33.011848            11.889969             9.639080                        968.652161                     0.094488             318.653992             316.074677                    0.0                        0.0              36.355637               31.885904                    48.465340              3.219115           0.0                                15.0
2023-05-01T10:02:00+00:00       95.913643                           69.0       308.645813          34.068428    33.024872            12.520983             9.544627                        968.598145                     0.000000             313.162964             321.869720                    0.0                        0.0              36.236721               31.885904                    48.431664              3.342927           0.0                                15.0
2023-05-01T10:12:00+00:00       95.099373                           69.0       312.621216          34.312912    33.055321             8.612181            10.418845                        968.565186                     0.094488             326.011902             324.105225                    0.0                        0.0              36.316025               31.885904                    48.393127              8.728754           0.0                                20.0
2023-05-01T10:22:00+00:00       94.778084                           69.0       330.465546          34.595795    33.252037            12.612520            10.349786                        968.493713                     0.094488             334.009430             329.632568                    0.0                        0.0              36.408363               31.885904                    48.364201              4.209612           0.0                                15.0
2023-05-01T10:32:00+00:00       94.506439                           69.0       316.712677          34.836285    33.419300            14.356812            12.509572                        968.542542                     0.000000             316.497711             329.459686                    0.0                        0.0              36.355637               31.885904                    48.325645              9.385589           0.0                                20.0
2023-05-01T10:42:00+00:00       94.709198                           69.0       337.997467          35.015457    33.650948            11.311876            10.137280                        968.554138                     0.047244             322.937622             331.301270                    0.0                        0.0              36.570435               31.885904                    48.291862              5.881075           0.0                                15.0
2023-05-01T10:52:00+00:00       93.707756                           69.0       334.257172          34.995598    33.365383             9.127067            10.155477                        968.628723                     0.094488             327.110138             334.757782                    0.0                        0.0              36.320438               31.885904                    48.253220              5.200109           0.0                                15.0
2023-05-01T11:02:00+00:00       93.424530                           69.0       342.348175          34.676151    32.972775            11.766916            14.025195                        968.524170                     0.000000             303.766785             316.974152                    0.0                        0.0              35.850937               31.885904                    48.204872              7.366821           0.0                                15.0
2023-05-01T11:12:00+00:00       94.186623                           70.0       323.936066          34.312912    32.814770             8.413042            10.179209                        968.558777                     0.141732             318.873169             330.504761                    0.0                        0.0              35.075520               31.885904                    48.167980             15.314960           0.0                                20.0
2023-05-01T11:22:00+00:00       94.792099                           69.0       329.113800          34.027508    32.690899            10.017251            10.586366                        968.578613                     0.118110             329.060913             332.863342                    0.0                        0.0              34.608116               31.885904                    48.135918             10.145550           0.0                                20.0
2023-05-01T11:32:00+00:00       95.520966                           69.0       340.217102          33.468578    32.325802            11.578476             8.633160                        968.651550                     0.000000             326.713135             341.314301                    0.0                        0.0              33.471409               31.885904                    48.099266             17.504320           0.0                                20.0
2023-05-01T11:42:00+00:00       96.451096                           69.0       334.255524          33.231449    32.330807            13.620465            11.628869                        968.654541                     0.118110             329.289154             330.396179                    0.0                        0.0              33.386227               31.885904                    48.062550             12.594237           0.0                                20.0
2023-05-01T11:52:00+00:00       97.253998                           69.0       320.539276          33.231449    32.537109            11.332173             9.819497                        968.704407                     0.094488             323.225891             332.133179                    0.0                        0.0              33.975163               31.885904                    48.021229              4.457236           0.0                                15.0
2023-05-01T12:02:00+00:00       97.692215                           69.0       331.440521          33.271095    32.688610             8.008805             8.909855                        968.778320                     0.000000             327.963104             332.860596                    0.0                        0.0              34.411507               31.885904                    47.984451             13.626236           0.0                                20.0
2023-05-01T12:12:00+00:00       98.185005                           69.0       329.700562          33.606052    33.148266            14.136222             9.876446                        968.885010                     0.094488             339.618195             334.609650                    0.0                        0.0              35.054016               31.885904                    47.975262              7.552539           0.0                                15.0
2023-05-01T12:22:00+00:00       98.073486                           69.0       340.081116          33.468578    32.982723             9.647632            11.189959                        968.905701                     0.094488             354.754791             338.361481                    0.0                        0.0              35.353905               31.885904                    47.915417              9.444047           0.0                                20.0
2023-05-01T12:32:00+00:00       98.149155                           69.0       335.905609          33.409462    32.942974             9.635196            11.741343                        969.030945                     0.000000             329.228180             328.560699                    0.0                        0.0              35.092731               31.885904                    47.873959              3.838176           0.0                                15.0
2023-05-01T12:42:00+00:00       98.386841                           69.0       332.961578          33.448887    33.042664            11.936398            10.013062                        969.119690                     0.094488             342.404602             331.753143                    0.0                        0.0              35.285568               31.885904                    47.837059              7.800163           0.0                                15.0
2023-05-01T12:52:00+00:00       98.484108                           69.0       330.257874          33.350243    32.968861             9.163631            12.046191                        969.021484                     0.094488             340.965546             332.263031                    0.0                        0.0              35.447620               31.885904                    47.795525              7.057291           0.0                                15.0
2023-05-01T13:02:00+00:00       98.588646                           69.0       339.883942          33.606052    33.250721            12.116224            10.366549                        969.016174                     0.118110             343.623260             335.305298                    0.0                        0.0              35.409290               31.885904                    47.758560              7.676351           0.0                                15.0
2023-05-01T13:12:00+00:00       98.422859                           70.0       321.468323          33.330475    32.933601             7.716983            10.713172                        969.011414                     0.094488             346.058136             334.446899                    0.0                        0.0              35.075520               31.885904                    47.721561              8.666847           0.0                                20.0
2023-05-01T13:22:00+00:00       98.595871                           69.0       343.563904          33.330475    32.977413             9.190475            11.025677                        968.960876                     0.070866             348.602264             332.752319                    0.0                        0.0              35.002354               31.885904                    47.679920              3.528645           0.0                                15.0
2023-05-01T13:32:00+00:00       98.682434                           69.0       323.037323          33.330475    32.999306            12.245874            10.397213                        968.993103                     0.094488             345.059052             334.315460                    0.0                        0.0              35.127071               31.885904                    47.642857              9.210213           0.0                                20.0
2023-05-01T13:42:00+00:00       98.653587                           69.0       328.797791          33.330475    32.992012             9.328114            11.105754                        969.063782                     0.118110             345.537201             337.382599                    0.0                        0.0              34.993740               31.885904                    47.601143              5.262014           0.0                                15.0
2023-05-01T13:52:00+00:00       98.538185                           69.0       332.194153          33.330475    32.962811             8.618450            10.811375                        969.028625                     0.094488             344.600952             337.952057                    0.0                        0.0              34.682102               31.885904                    47.559391             10.496302           0.0                                20.0
2023-05-01T14:02:00+00:00       98.606628                           69.0       306.280212          33.231453    32.881271             9.972622            11.095181                        969.075317                     0.094488             345.027283             337.277527                    0.0                        0.0              34.275452               31.885904                    47.517570             15.221144           0.0                                20.0
2023-05-01T14:12:00+00:00       98.599358                           69.0       340.149872          33.191761    32.839802            10.848622            10.444810                        969.144836                     0.094488             344.851440             338.248413                    0.0                        0.0              33.819626               31.885904                    47.480400             16.190704           0.0                                20.0
