              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Saline Concentration%  Road Condition Lufftlogic  Friction  Ice Percent%  Surface TemperatureF  Freezing TemperatureF  Water Film Heightmil  Road Condition Lufft IRS31Prologic  Sub Surface Temperature 1F
2023-04-01T04:09:00+00:00             0.0                      56.074543         4.844746                0.0          0.0                241.0                  0.0                               0.0            21.816465                          0.0              32.930290                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T04:19:00+00:00             0.0                      54.460686         4.791135                0.0          0.0                241.0                  0.0                               0.0            22.872114                          0.0              33.132706                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T04:29:00+00:00             0.0                      30.279552         5.613344                0.0          0.0                241.0                  0.0                               0.0            22.554903                          0.0              33.214191                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T04:39:00+00:00             0.0                      51.645748         6.396103                0.0          0.0                241.0                  0.0                               0.0            19.172031                          0.0              33.244160                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T04:49:00+00:00             0.0                      42.485924         6.204081                0.0          0.0                241.0                  0.0                               0.0            22.971657                          0.0              33.209896                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T04:59:00+00:00             0.0                      59.560398         4.149840                0.0          0.0                241.0                  0.0                               0.0            18.836479                          0.0              33.209896                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T05:09:00+00:00             0.0                      42.865898         4.987171                0.0          0.0                241.0                  0.0                               0.0            20.667755                          0.0              33.333908                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T05:19:00+00:00             0.0                      44.736614         4.889454                0.0          0.0                241.0                  0.0                               0.0            15.377501                          0.0              33.312561                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T05:29:00+00:00             0.0                      43.032627         5.265211                0.0          0.0                241.0                  0.0                               0.0            22.763342                          0.0              33.351002                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T05:39:00+00:00             0.0                      53.665634         4.607115                0.0          0.0                241.0                  0.0                               0.0            15.822357                          0.0              33.397888                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T05:49:00+00:00             0.0                      37.720741         4.859172                0.0          0.0                241.0                  0.0                               0.0            16.679350                          0.0              33.325378                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T05:59:00+00:00             0.0                      16.588245         5.440205                0.0          0.0                241.0                  0.0                               0.0            20.429579                          0.0              33.351002                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T06:09:00+00:00             0.0                      37.188576         4.593959                0.0          0.0                241.0                  0.0                               0.0            20.408857                          0.0              33.325378                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T06:19:00+00:00             0.0                      39.401855         5.117253                0.0          0.0                241.0                  0.0                               0.0            16.867313                          0.0              33.342442                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T06:29:00+00:00             0.0                      24.626801         5.777021                0.0          0.0                241.0                  0.0                               0.0            17.267715                          0.0              33.342442                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T06:39:00+00:00             0.0                      41.392845         3.964520                0.0          0.0                241.0                  0.0                               0.0            17.038395                          0.0              33.342442                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
2023-04-01T06:49:00+00:00             0.0                      21.385145         4.767405                0.0          0.0                241.0                  0.0                               0.0            17.014067                          0.0              33.261265                        0.0       0.0           0.0                    0.0                     0.0                   0.0                            0.000000                          0.0
