              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Wind Direction (max)  Saline Concentration%  Road Condition Lufftlogic  Friction  Surface TemperatureF  Freezing TemperatureF  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-01-01T08:50:00+00:00       91.606850                            0.0       199.804214          33.934292    31.748669             5.019300                        980.261414             5.876531                     0.000000             190.620941               1.287272                        5.0  0.577731              31.843817               30.636763              4.134493     35.641487                                25.0
2023-01-01T09:01:00+00:00       91.936272                            0.0       184.585648          33.926601    31.830116             3.541795                        980.419922             6.376268                     0.000000             201.206787               1.269266                        5.0  0.573589              31.928009               30.656004              2.870206     36.539021                                25.0
2023-01-01T09:11:00+00:00       92.047653                            0.0       193.332413          33.772202    31.707218             5.616681                        980.386475             5.320483                     0.000000             194.350906               1.254944                        5.0  0.570299              31.995243               30.671305              3.789688     37.252968                                25.0
2023-01-01T09:21:00+00:00       92.047653                            0.0       176.886719          33.772182    31.707201             5.698088                        980.401611             5.420052                     0.000000             195.141907               1.268353                        5.0  0.801554              32.046188               30.656979              3.157544      0.000000                                25.0
2023-01-01T09:31:00+00:00       92.037056                            0.0       183.812012          33.710392    31.643135             3.659561                        980.232971             5.749951                     0.000000             184.358154               1.279644                        5.0  0.803904              32.094971               30.644913              2.755270      0.000000                                25.0
2023-01-01T09:40:00+00:00       92.436554                            0.0       171.890259          33.627407    31.668308             3.231830                        980.148254             4.337081                     0.000000             168.871765               1.290066                        5.0  0.805582              32.143715               30.633776              2.467932      0.000000                                25.0
2023-01-01T09:51:00+00:00       92.602180                            0.0       209.779480          33.627525    31.712830             2.281968                        980.223022             3.248638                     0.000000             191.346329               1.341589                        5.0  0.799875              32.161407               30.578684              3.444882      0.000000                                25.0
2023-01-01T10:00:00+00:00       92.960457                            0.0       261.616150          33.622875    31.804016             0.924690                        980.134399             1.818324                     0.000000             198.233505               1.373096                        5.0  0.801889              32.165840               30.544971              3.100076      0.000000                                25.0
2023-01-01T10:00:00+00:00       92.960457                            0.0       261.616150          33.622875    31.804016             0.924690                        980.134399             1.818324                     0.000000             198.233505               1.373096                        5.0  0.801889              32.165840               30.544971              3.100076      0.000000                                25.0
2023-01-01T10:11:00+00:00       93.097847                            0.0       190.850571          33.618286    31.836119             1.467344                        980.203857             1.525083                     0.000000             156.974228               1.389867                        5.0  0.804911              32.192360               30.527020              2.582868      0.000000                                25.0
2023-01-01T10:21:00+00:00       93.125717                            0.0       219.568680          33.619698    31.844940             2.077466                        980.131409             2.211566                     0.000000             197.103943               1.397908                        5.0  0.806254              32.223286               30.518410              2.352998      0.000000                                25.0
2023-01-01T10:31:00+00:00       92.997734                            0.0       201.126373          33.678459    31.869091             2.783281                        980.154419             2.427982                     0.000000             207.016342               1.404618                        5.0  0.806254              32.232140               30.511227              2.352998      0.000000                                25.0
2023-01-01T10:41:00+00:00       92.811394                            0.0       206.545700          33.719131    31.859642             3.850624                        980.011963             3.685649                     0.000000             204.650421               1.427183                        5.0  0.805582              32.276237               30.487057              2.467932      0.000000                                25.0
2023-01-01T10:51:00+00:00       92.756081                            0.0       213.866928          33.719154    31.844868             2.425121                        980.022400             3.209235                     0.000000             220.842865               1.450021                        5.0  0.796518              32.307121               30.462587              4.019558      0.000000                                25.0
2023-01-01T11:01:00+00:00       92.904099                            0.0       218.371689          33.616779    31.782923             2.728065                        980.097290             3.341980                     0.000000             201.982010               1.108705                        5.0  0.797861              32.333530               30.827337              3.789688      0.000000                                25.0
2023-01-01T11:11:00+00:00       93.206345                            0.0       195.630753          33.765903    32.011463             4.797003                        980.054871             3.819453                     0.000000             200.761459               1.218468                        5.0  0.803904              32.368744               30.710257              2.755270      0.000000                                25.0
2023-01-01T11:21:00+00:00       93.488663                            0.0       223.189117          33.639290    31.960945             4.530526                        980.093140             4.092979                     0.000000             196.418213               1.283835                        5.0  0.805918              32.390724               30.640436              2.410465      0.000000                                25.0
2023-01-01T11:31:00+00:00       93.734390                            0.0       223.009628          33.619858    32.006847             6.339085                        980.150574             4.501827                     0.000000             217.570114               1.360863                        5.0  0.799204              32.430252               30.558064              3.559817      0.000000                                25.0
2023-01-01T11:41:00+00:00       94.039909                            0.0       203.561005          33.624325    32.092121             4.151468                        980.057190             4.748585                     0.000000             217.188080               1.369510                        5.0  0.802561              32.447800               30.548809              2.985141      0.000000                                25.0
2023-01-01T11:51:00+00:00       94.234253                            0.0       216.454254          33.626015    32.145107             3.988186                        980.168030             5.040113                     0.000000             218.371872               1.387831                        5.0  0.804575              32.403915               30.529200              2.640335      0.000000                                25.0
2023-01-01T12:01:00+00:00       94.455864                            0.0       210.848923          33.624485    32.201969             6.414051                        980.114441             4.360418                     0.000000             216.026306               1.395015                        5.0  0.806925              32.417072               30.521507              2.238062      0.000000                                25.0
2023-01-01T12:10:00+00:00       94.539581                            0.0       219.108795          33.627468    32.226955             5.135662                        980.230469             4.893120                     0.000000             220.465775               1.386198                        5.0  0.806925              32.412697               30.530947              2.238062      0.000000                                25.0
2023-01-01T12:21:00+00:00       94.566559                            0.0       221.925476          33.622776    32.229389             6.468556                        980.515320             4.736758                     0.000000             211.853424               1.483817                        5.0  0.801218              32.478527               30.426359              3.215011      0.000000                                25.0
2023-01-01T12:31:00+00:00       94.426941                            0.0       234.003708          33.618229    32.188141             2.680768                        980.491028             4.592005                     0.000000             216.620361               1.499271                        5.0  0.804575              32.500412               30.409786              2.640335      0.000000                                25.0
2023-01-01T12:41:00+00:00       94.399841                            0.0       215.843979          33.621246    32.184006             3.387861                        980.589417             3.874531                     0.000000             202.521133               1.505008                        5.0  0.799875              32.425850               30.403633              3.444882      0.000000                                25.0
2023-01-01T12:51:00+00:00       94.484085                            0.0       232.524368          33.627468    32.212357             4.861768                        980.675903             5.476407                     0.000000             218.095703               1.523378                        5.0  0.804575              32.355537               30.383924              2.640335      0.000000                                25.0
2023-01-01T13:01:00+00:00       94.317345                            0.0       233.410629          33.625896    32.166889             5.407923                        980.665649             5.507946                     0.000000             216.214920               1.833783                        5.0  0.791482              32.395103               30.049942              4.881572      0.000000                                25.0
2023-01-01T13:11:00+00:00       94.123299                            0.0       223.207031          33.626038    32.115849             7.915084                        980.661621             5.787578                     0.000000             219.194626               1.949665                        5.0  0.799875              32.395103               29.924768              3.444882      0.000000                                25.0
2023-01-01T13:21:00+00:00       94.068451                            0.0       219.460480          33.629097    32.104404             5.671322                        980.730042             5.726013                     0.000000             217.624161               1.966807                        5.0  0.803568              32.329144               29.906229              2.812738      0.000000                                25.0
2023-01-01T13:31:00+00:00       94.044106                            0.0       222.150101          33.490063    31.959906             4.628015                        980.698425             4.702929                     0.000000             219.782852               1.973924                        5.0  0.805918              32.183521               29.898529              2.410465      0.000000                                25.0
2023-01-01T13:41:00+00:00       94.044098                            0.0       236.108627          33.490025    31.959864             5.131636                        981.046509             5.423973                     0.000000             243.905121               2.067446                        5.0  0.805918              32.285084               29.797260              2.410465      0.000000                                25.0
2023-01-01T13:51:00+00:00       94.155495                            0.0       241.103165          33.493187    31.992399             6.801256                        980.911987             5.017763                     0.000000             248.237793               2.070430                        5.0  0.800882              32.254211               29.794025              3.272479      0.000000                                25.0
2023-01-01T14:00:00+00:00       94.101364                            0.0       244.035004          33.500824    31.985704             7.378055                        980.887573             5.697809                     0.000000             247.491241               2.135147                        5.0  0.799204              32.063931               29.723835              3.559817      0.000000                                25.0
2023-01-01T14:00:00+00:00       94.101364                            0.0       244.035004          33.500824    31.985704             7.378055                        980.887573             5.697809                     0.000000             247.491241               2.135147                        5.0  0.799204              32.063931               29.723835              3.559817      0.000000                                25.0
2023-01-01T14:11:00+00:00       94.019386                            0.0       243.571228          33.507072    31.970264             7.447627                        980.983948             5.369944                     0.000000             244.682480               2.162848                        5.0  0.799539              31.869085               29.693762              3.502350      0.006897                                25.0
