              MeasureTime  Rel. Humidity%  Wind Direction  Brightnesslx  Air TemperatureF  Wind Speed (act)mph  Precipitation Intensityin/h  Visibilitymiles  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface TemperatureF  Freezing TemperatureF  Sub Surface Temperature 3F  Water Film Heightmil  ground temperature (0")F  ground temperature (3")F  ground temperature (6")F  ground temperature (9")F  ground temperature (12")F  ground temperature (18")F  ground temperature (24")F  ground temperature (30")F  ground temperature (36")F  ground temperature (42")F
2023-09-01T04:00:00+00:00       58.719476         0.574863           0.0          65.464290                  0.0                     0.000000         3.989202                   85.0  0.820000          85.0                                10.0              74.631836                    85.0                         84.0              0.000000                        40.0                   71.599998                   71.276001                   70.447998                    70.015999                    69.367996                    69.080002                    68.647995                    68.486000                    68.180000
2023-09-01T04:09:00+00:00       59.406293         0.581044           0.0          65.285717                  0.0                     0.000000         4.014057                   85.0  0.820000          85.0                                10.0              74.362946                    85.0                         84.0              0.000000                        40.0                   71.510002                   71.257996                   70.501999                    70.015999                    69.386002                    69.043999                    68.647995                    68.468002                    68.180000
2023-09-01T04:19:00+00:00       60.117523         0.568681           0.0          65.123631                  0.0                     0.000000         4.200468                   85.0  0.820000          85.0                                10.0              74.022308                    85.0                         84.0              0.000000                        40.0                   71.419998                   71.222000                   70.466003                    70.052002                    69.421997                    69.080002                    68.647995                    68.503998                    68.162003
2023-09-01T04:30:00+00:00       60.955438         0.581044           0.0          64.670335                  0.0                     0.000000         3.871141                   85.0  0.820000          85.0                                10.0              73.589569                    85.0                         84.0              0.000000                        40.0                   71.293999                   71.132004                   70.483994                    70.070000                    69.386002                    69.061996                    68.630005                    68.503998                    68.162003
2023-09-01T04:40:00+00:00       62.292432         0.574863           0.0          64.005498                  0.0                     0.000000         4.057553                   85.0  0.820000          85.0                                10.0              73.189705                    85.0                         84.0              0.000000                        40.0                   71.186005                   71.132004                   70.501999                    70.106003                    69.421997                    69.061996                    68.612000                    68.449997                    68.162003
2023-09-01T04:50:00+00:00       61.648352         0.581044           0.0          64.513742                  0.0                     0.000000         3.933278                   85.0  0.820000          85.0                                10.0              73.035248                    85.0                         84.0              0.000000                        40.0                   71.095993                   71.078003                   70.501999                    70.070000                    69.440002                    69.043999                    68.666000                    68.468002                    68.162003
2023-09-01T05:00:00+00:00       61.607147         0.574863           0.0          64.662089                  0.0                     0.000000         4.082407                   85.0  0.820000          85.0                                10.0              72.812294                    85.0                         84.0              0.000000                        40.0                   71.005997                   71.042000                   70.466003                    70.106003                    69.440002                    69.080002                    68.666000                    68.468002                    68.143997
2023-09-01T05:00:00+00:00       61.607147         0.574863           0.0          64.662089                  0.0                     0.000000         4.082407                   85.0  0.820000          85.0                                10.0              72.812294                    85.0                         84.0              0.000000                        40.0                   71.005997                   71.042000                   70.466003                    70.106003                    69.440002                    69.080002                    68.666000                    68.468002                    68.143997
2023-09-01T05:09:00+00:00       63.102875         0.581044           0.0          64.173083                  0.0                     0.000000         3.914637                   85.0  0.820000          85.0                                10.0              72.507721                    85.0                         84.0              0.000000                        40.0                   70.880005                   71.005997                   70.447998                    70.124001                    69.440002                    69.043999                    68.647995                    68.486000                    68.125999
2023-09-01T05:19:00+00:00       64.464288         0.574863           0.0          63.689563                  0.0                     0.000000         4.101049                   85.0  0.820000          85.0                                10.0              72.164398                    85.0                         84.0              0.000000                        40.0                   70.807999                   70.951996                   70.430000                    70.124001                    69.475998                    69.043999                    68.647995                    68.522003                    68.162003
2023-09-01T05:30:00+00:00       66.411786         0.574863           0.0          62.804950                  0.0                     0.000000         3.815218                   85.0  0.820000          85.0                                10.0              71.781738                    85.0                         84.0              0.000000                        40.0                   70.718002                   70.880005                   70.430000                    70.124001                    69.457993                    69.043999                    68.630005                    68.503998                    68.108002
2023-09-01T05:39:00+00:00       66.752142         0.574863           0.0          62.604399                  0.0                     0.000000         3.666089                   85.0  0.820000          85.0                                10.0              71.573914                    85.0                         84.0              0.000000                        40.0                   70.610001                   70.843994                   70.393997                    70.106003                    69.457993                    69.026001                    68.630005                    68.468002                    68.125999
2023-09-01T05:49:00+00:00       66.503363         0.574863           0.0          62.810443                  0.0                     0.000000         3.572883                   85.0  0.820000          85.0                                10.0              71.387039                    85.0                         84.0              0.000000                        40.0                   70.556000                   70.789993                   70.412003                    70.177994                    69.440002                    69.061996                    68.630005                    68.449997                    68.125999
2023-09-01T06:00:00+00:00       67.306171         0.574863           0.0          62.552205                  0.0                     0.000000         3.454823                   85.0  0.820000          85.0                                10.0              71.025574                    85.0                         84.0              0.000000                        40.0                   70.430000                   70.807999                   70.430000                    70.177994                    69.475998                    69.098000                    68.647995                    68.468002                    68.162003
2023-09-01T06:00:00+00:00       67.306171         0.574863           0.0          62.552205                  0.0                     0.000000         3.454823                   85.0  0.820000          85.0                                10.0              71.025574                    85.0                         84.0              0.000000                        40.0                   70.430000                   70.807999                   70.430000                    70.177994                    69.475998                    69.098000                    68.647995                    68.468002                    68.162003
2023-09-01T06:09:00+00:00       68.369965         0.574863           0.0          62.126379                  0.0                     0.000000         3.722012                   85.0  0.820000          85.0                                10.0              70.728989                    85.0                         84.0              0.000000                        40.0                   70.322006                   70.699997                   70.393997                    70.141998                    69.529999                    69.026001                    68.630005                    68.449997                    68.143997
2023-09-01T06:20:00+00:00       68.318073         0.587225           0.0          62.346160                  0.0                     0.000000         3.591524                   85.0  0.820000          85.0                                10.0              70.528580                    85.0                         84.0              0.000000                        40.0                   70.285995                   70.681999                   70.393997                    70.177994                    69.475998                    69.080002                    68.612000                    68.486000                    68.143997
2023-09-01T06:30:00+00:00       68.740845         0.581044           0.0          62.225278                  0.0                     0.000000         3.597738                   85.0  0.820000          85.0                                10.0              70.327606                    85.0                         84.0              0.000000                        40.0                   70.160004                   70.645996                   70.393997                    70.195999                    69.512001                    69.080002                    68.630005                    68.449997                    68.125999
2023-09-01T06:39:00+00:00       69.357452         0.574863           0.0          61.980771                  0.0                     0.000000         3.392686                   85.0  0.820000          85.0                                10.0              70.156609                    85.0                         84.0              0.000000                        40.0                   70.087997                   70.574005                   70.375999                    70.141998                    69.494003                    69.080002                    68.630005                    68.449997                    68.125999
2023-09-01T06:50:00+00:00       70.308307         0.581044           0.0          61.835171                  0.0                     0.000000         3.722012                   85.0  0.820000          85.0                                10.0              69.966843                    85.0                         84.0              0.000000                        40.0                   69.979996                   70.501999                   70.375999                    70.141998                    69.494003                    69.043999                    68.612000                    68.468002                    68.125999
2023-09-01T07:00:00+00:00       70.666974         0.574863           0.0          61.662092                  0.0                     0.000000         3.572883                   85.0  0.820000          85.0                                10.0              69.734650                    85.0                         84.0              0.000000                        40.0                   69.925995                   70.501999                   70.375999                    70.124001                    69.494003                    69.098000                    68.630005                    68.414001                    68.108002
2023-09-01T07:00:00+00:00       70.666974         0.574863           0.0          61.662092                  0.0                     0.000000         3.572883                   85.0  0.820000          85.0                                10.0              69.734650                    85.0                         84.0              0.000000                        40.0                   69.925995                   70.501999                   70.375999                    70.124001                    69.494003                    69.098000                    68.630005                    68.414001                    68.108002
2023-09-01T07:10:00+00:00       70.293042         0.574863           0.0          61.739019                  0.0                     0.000000         3.796577                   85.0  0.820000          85.0                                10.0              69.488167                    85.0                         84.0              0.000000                        40.0                   69.818001                   70.430000                   70.358002                    70.160004                    69.548004                    69.080002                    68.612000                    68.414001                    68.108002
2023-09-01T07:19:00+00:00       70.335779         0.581044           0.0          61.791213                  0.0                     0.000000         3.709585                   85.0  0.820000          85.0                                10.0              69.311516                    85.0                         84.0              0.000000                        40.0                   69.764000                   70.393997                   70.304001                    70.160004                    69.548004                    69.061996                    68.576004                    68.468002                    68.108002
2023-09-01T07:30:00+00:00       70.267096         0.574863           0.0          61.700554                  0.0                     0.000000         3.889782                   85.0  0.820000          85.0                                10.0              69.039810                    85.0                         84.0              0.000000                        40.0                   69.673996                   70.285995                   70.267998                    70.160004                    69.584000                    69.080002                    68.593994                    68.449997                    68.072006
2023-09-01T07:40:00+00:00       71.146216         0.581044           0.0          61.236268                  0.0                     0.000000         3.753081                   85.0  0.820000          85.0                                10.0              68.808594                    85.0                         84.0              0.000000                        40.0                   69.601997                   70.285995                   70.285995                    70.141998                    69.566002                    69.115997                    68.630005                    68.377998                    68.108002
2023-09-01T07:49:00+00:00       71.498785         0.581044           0.0          61.098904                  0.0                     0.000000         3.703371                   85.0  0.820000          85.0                                10.0              68.642143                    85.0                         84.0              0.000000                        40.0                   69.494003                   70.213997                   70.285995                    70.177994                    69.548004                    69.098000                    68.612000                    68.414001                    68.089996
2023-09-01T08:09:00+00:00       70.830286         0.581044           0.0          61.557694                  0.0                     0.000000         3.864928                   85.0  0.820000          85.0                                10.0              68.361786                    85.0                         84.0              0.000000                        40.0                   69.349998                   70.160004                   70.231995                    70.141998                    69.548004                    69.098000                    68.630005                    68.431999                    68.125999
2023-09-01T08:20:00+00:00       71.274426         0.587225           0.0          61.508244                  0.0                     0.000000         3.809004                   85.0  0.820000          85.0                                10.0              68.200218                    85.0                         84.0              0.000000                        40.0                   69.278000                   70.087997                   70.195999                    70.177994                    69.566002                    69.098000                    68.593994                    68.431999                    68.108002
2023-09-01T08:30:00+00:00       72.188647         0.574863           0.0          61.189565                  0.0                     0.000000         3.709585                   85.0  0.820000          85.0                                10.0              68.014267                    85.0                         84.0              0.000000                        40.0                   69.223999                   70.033997                   70.177994                    70.141998                    69.548004                    69.098000                    68.593994                    68.414001                    68.072006
