              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Wind Direction (max)  Saline Concentration%  Road Condition Lufftlogic  Friction  Surface TemperatureF  Freezing TemperatureF  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-10-01T04:10:00+00:00       79.858894                            0.0       165.433609          70.890678    64.358612             7.027397                        993.389404             6.663881                     0.000000             165.349777              85.000000                        0.0  0.820000              68.832283               85.000000              0.000000     85.000000                                10.0
2023-10-01T04:19:00+00:00       80.611176                            0.0       159.096420          70.707352    64.448784             6.485572                        993.526184             5.912605                     0.000000             156.082062              85.000000                        0.0  0.820000              68.737106               85.000000              0.000000     85.000000                                10.0
2023-10-01T04:29:00+00:00       81.191635                            0.0       186.358475          70.535110    64.486603             2.559129                        993.497009             5.162142                     0.000000             166.627640              85.000000                        0.0  0.820000              68.582214               85.000000              0.000000     85.000000                                10.0
2023-10-01T04:39:00+00:00       82.234657                            0.0       165.165604          70.179245    64.505310             3.073237                        993.621948             3.652045                     0.000000             165.835892              85.000000                        0.0  0.820000              68.397079               85.000000              0.000000     85.000000                                10.0
2023-10-01T04:49:00+00:00       82.354095                            0.0       143.970078          70.010452    64.382095             2.772201                        993.607849             2.987913                     0.000000             163.570786              85.000000                        0.0  0.820000              68.235420               85.000000              0.000000     85.000000                                10.0
2023-10-01T04:59:00+00:00       83.741829                            0.0       147.863464          69.661011    64.519363             1.180340                        993.786743             2.160505                     0.000000             166.228699              85.000000                        0.0  0.820000              68.043327               85.000000              0.000000     85.000000                                10.0
2023-10-01T05:09:00+00:00       84.157433                            0.0       167.900040          69.552650    64.555222             1.636572                        993.864502             2.078736                     0.000000             160.203705              85.000000                        0.0  0.820000              67.928459               85.000000              0.000000     85.000000                                10.0
2023-10-01T05:20:00+00:00       84.582733                            0.0       146.405838          69.510223    64.658234             2.351252                        993.761353             1.970708                     0.000000             141.885437              85.000000                        0.0  0.820000              67.796524               85.000000              0.000000     85.000000                                10.0
2023-10-01T05:30:00+00:00       85.261894                            0.0       136.694244          69.241432    64.624130             2.010072                        994.050598             2.490303                     0.000000             140.714890              85.000000                        0.0  0.820000              67.721840               85.000000              0.000000     85.000000                                10.0
2023-10-01T05:39:00+00:00       85.736824                            0.0       133.451263          69.147331    64.691139             1.734473                        993.980896             2.091218                     0.000000             117.072495              85.000000                        0.0  0.820000              67.624054               85.000000              0.000000     85.000000                                10.0
2023-10-01T05:50:00+00:00       85.073273                            0.0       129.636993          69.327293    64.644806             4.859338                        994.123352             2.953655                     0.000000             131.897537              85.000000                        0.0  0.820000              67.572250               85.000000              0.000000     85.000000                                10.0
2023-10-01T05:59:00+00:00       86.030716                            0.0       123.044395          68.997459    64.642189             2.330916                        994.051758             2.955917                     0.000000             128.590271              85.000000                        0.0  0.820000              67.549210               85.000000              0.000000     85.000000                                10.0
2023-10-01T06:09:00+00:00       86.473816                            0.0       132.490616          68.883476    64.677605             1.499993                        994.112976             1.867349                     0.000000             138.382324              85.000000                        0.0  0.820000              67.404984               85.000000              0.000000     85.000000                                10.0
2023-10-01T06:20:00+00:00       87.513641                            0.0       100.930115          68.531815    64.674751             1.118446                        994.338806             1.198098                     0.000000              85.787994              85.000000                        0.0  0.820000              67.260437               85.000000              0.000000     85.000000                                10.0
2023-10-01T06:29:00+00:00       89.053200                            0.0       121.464073          68.062073    64.712379             1.790551                        994.388306             1.854537                     0.000000              89.613503              85.000000                        0.0  0.820000              67.167786               85.000000              0.000000     85.000000                                10.0
2023-10-01T06:39:00+00:00       89.516342                            0.0        87.040337          68.075577    64.874557             0.906141                        994.407959             1.517110                     0.000000             138.785614              85.000000                        0.0  0.820000              67.092392               85.000000              0.000000     85.000000                                10.0
2023-10-01T06:49:00+00:00       89.920334                            0.0       132.718903          67.895760    64.826378             2.029055                        994.492371             1.368357                     0.000000             120.892677              85.000000                        0.0  0.820000              67.115616               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:00:00+00:00       90.035202                            0.0       166.634766          67.893066    64.860352             0.920382                        994.499512             1.415925                     0.000000             127.312645              85.000000                        0.0  0.820000              67.121399               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:00:00+00:00       90.035202                            0.0       166.634766          67.893066    64.860352             0.920382                        994.499512             1.415925                     0.000000             127.312645              85.000000                        0.0  0.820000              67.121399               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:10:00+00:00       87.270462                            0.0       160.627167          68.260307    64.327927             2.785669                        994.596863             1.951345                     0.000000             151.655487              85.000000                        0.0  0.820000              67.011108               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:19:00+00:00       86.838028                            0.0       152.103119          68.253555    64.179062             2.917157                        994.576660             3.119867                     0.000000             141.761185              85.000000                        0.0  0.820000              66.772507               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:29:00+00:00       86.664551                            0.0       148.106018          68.248154    64.116524             2.566380                        994.451843             3.235110                     0.000000             160.584213              85.000000                        0.0  0.820000              66.509621               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:39:00+00:00       86.263145                            0.0       156.618164          68.254906    63.990349             2.634537                        994.458191             2.865723                     0.000000             150.705078              85.000000                        0.0  0.820000              66.327934               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:49:00+00:00       84.138069                            0.0       162.536392          68.452690    63.471695             2.659851                        994.503479             2.777460                     0.000000             166.021317              85.000000                        0.0  0.820000              66.211777               85.000000              0.000000     85.000000                                10.0
2023-10-01T07:59:00+00:00       82.957893                            0.0       172.428802          68.629059    63.241306             3.344630                        994.402039             2.868378                     0.000000             159.969040              85.000000                        0.0  0.820000              66.100250               85.000000              0.000000     85.000000                                10.0
2023-10-01T08:09:00+00:00       82.207764                            0.0       182.863205          68.802948    63.152267             3.157982                        994.336365             3.455398                     0.000000             168.219681              85.000000                        0.0  0.820000              66.072342               85.000000              0.000000     85.000000                                10.0
2023-10-01T08:19:00+00:00       82.033066                            0.0       163.345779          68.786743    63.075836             4.437182                        994.436340             3.289050                     0.000000             191.860657              85.000000                        0.0  0.820000              66.089096               85.000000              0.000000     85.000000                                10.0
2023-10-01T08:29:00+00:00       82.003769                            0.0       154.891647          68.782700    63.061703             2.959957                        994.407104             3.221553                     0.000000             170.068588              85.000000                        0.0  0.820000              66.111404               85.000000              0.000000     85.000000                                10.0
2023-10-01T08:39:00+00:00       82.004158                            0.0       165.033997          68.785393    63.064476             2.915913                        994.497925             3.610123                     0.000000             158.115112              85.000000                        0.0  0.820000              66.005310               85.000000              0.000000     85.000000                                10.0
2023-10-01T08:49:00+00:00       82.409515                            0.0       156.731445          68.610153    63.033844             2.382137                        994.382690             3.433623                     0.000000             164.361023              85.000000                        0.0  0.820000              65.820587               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:00:00+00:00       82.555855                            0.0       165.330170          68.432442    62.910789             3.472328                        994.504761             3.422709                     0.000000             165.460907              85.000000                        0.0  0.820000              65.635361               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:00:00+00:00       82.555855                            0.0       165.330170          68.432442    62.910789             3.472328                        994.504761             3.422709                     0.000000             165.460907              85.000000                        0.0  0.820000              65.635361               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:09:00+00:00       82.527573                            0.0       164.684723          68.435135    62.903675             4.359674                        994.487244             3.755802                     0.000000             155.096939              85.000000                        0.0  0.820000              65.579117               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:19:00+00:00       82.470009                            0.0       162.533005          68.433792    62.882492             4.249140                        994.496826             4.149195                     0.000000             169.334473              85.000000                        0.0  0.820000              65.522827               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:29:00+00:00       82.729599                            0.0       156.497894          68.245453    62.787949             3.740345                        994.542542             3.841199                     0.000000             161.512817              85.000000                        0.0  0.820000              65.410080               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:39:00+00:00       83.132492                            0.0       165.711929          68.253555    62.934143             3.515461                        994.632263             3.680785                     0.000000             160.312546              85.000000                        0.0  0.820000              65.308479               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:49:00+00:00       83.076546                            0.0       178.536407          68.067474    62.733063             3.191940                        994.758972             3.670221                     0.000000             147.978012              85.000000                        0.0  0.820000              65.229340               85.000000              0.000000     85.000000                                10.0
2023-10-01T09:59:00+00:00       83.815926                            0.0       149.986847          68.022369    62.941116             3.763296                        994.826111             3.730607                     0.000000             152.849609              85.000000                        0.0  0.820000              65.178375               85.000000              0.000000     85.000000                                10.0
2023-10-01T10:09:00+00:00       84.109840                            0.0       151.769043          67.875763    62.897278             2.976840                        994.930420             3.021805                     0.000000             140.384384              85.000000                        0.0  0.820000              65.099068               85.000000              0.000000     85.000000                                10.0
2023-10-01T10:20:00+00:00       83.714241                            0.0       167.557297          67.722931    62.613548             2.564675                        994.871216             2.800901                     0.000000             154.739243              85.000000                        0.0  0.820000              65.093422               85.000000              0.000000     85.000000                                10.0
2023-10-01T10:29:00+00:00       84.028603                            0.0       146.069550          67.714836    62.712212             3.388969                        994.952454             3.215834                     0.000000             158.719025              85.000000                        0.0  0.820000              65.223663               85.000000              0.000000     85.000000                                10.0
2023-10-01T10:39:00+00:00       84.371651                            0.0       151.827362          67.706734    62.820198             3.369013                        995.048340             3.497627                     0.000000             154.510834              85.000000                        0.0  0.820000              65.398804               85.000000              0.000000     85.000000                                10.0
2023-10-01T10:50:00+00:00       84.055138                            0.0       150.763626          67.699982    62.706650             2.656602                        995.195374             2.847924                     0.000000             161.965607              85.000000                        0.0  0.820000              65.550972               85.000000              0.000000     85.000000                                10.0
2023-10-01T11:00:00+00:00       83.739441                            0.0       146.928589          67.698639    62.598335             3.562046                        995.225281             3.042728                     0.000000             154.834427              85.000000                        0.0  0.820000              65.601601               85.000000              0.000000     85.000000                                10.0
2023-10-01T11:00:00+00:00       83.739441                            0.0       146.928589          67.698639    62.598335             3.562046                        995.225281             3.042728                     0.000000             154.834427              85.000000                        0.0  0.820000              65.601601               85.000000              0.000000     85.000000                                10.0
2023-10-01T11:09:00+00:00       83.567291                            0.0       153.478043          67.698639    62.539833             4.720253                        995.203369             4.069586                     0.000000             142.713120              85.000000                        0.0  0.820000              65.607239               85.000000              0.000000     85.000000                                10.0
2023-10-01T11:19:00+00:00       83.424736                            0.0       153.613434          67.509811    62.306610             4.057078                        995.410400             4.222109                     0.000000             153.887924              85.000000                        0.0  0.820000              65.629715               85.000000              0.000000     85.000000                                10.0
2023-10-01T11:29:00+00:00       82.190308                            0.0       164.066345          67.694580    62.064095             4.757264                        995.472534             4.651636                     0.000000             157.228821              85.000000                        0.0  0.820000              65.691551               85.000000              0.000000     85.000000                                10.0
2023-10-01T11:39:00+00:00       80.671318                            0.0       150.211334          67.898178    61.733871             3.827017                        995.651733             4.206743                     0.000000             154.582947              85.000000                        0.0  0.820000              65.815002               85.000000              0.000000     85.000000                                10.0
