              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Wind Speed (avg)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  Wind Direction (max)  Wind Direction (avg)  Saline Concentration%  Road Condition Lufftlogic  Surface TemperatureF  Freezing TemperatureF  Sub Surface Temperature 1F  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-02-01T05:01:00+00:00       64.157898                            0.0       247.712753           5.134975    -4.351822             7.537293             6.230170                        998.253906                     0.000000             230.975403             240.803986              85.000000                        0.0               7.638489               85.000000                    24.877689              0.000000     85.000000                                10.0
2023-02-01T05:11:00+00:00       64.203186                            0.0       248.591812           5.281195    -4.197536             5.256458             6.507568                        998.143188                     0.000000             256.983795             246.180511              85.000000                        0.0               7.666342               85.000000                    24.860062              0.000000     85.000000                                10.0
2023-02-01T05:21:00+00:00       64.763771                            0.0       265.751221           5.110506    -4.178829             5.857352             6.084403                        998.166443                     0.000000             237.760818             252.578262              85.000000                        0.0               7.684872               85.000000                    24.842430              0.000000     85.000000                                10.0
2023-02-01T05:31:00+00:00       64.994507                            0.0       242.345154           5.256887    -3.964607             7.051206             6.309827                        998.216736                     0.000000             237.340408             244.237534              85.000000                        0.0               7.929171               85.000000                    24.820353              0.000000     85.000000                                10.0
2023-02-01T05:41:00+00:00       65.321625                            0.0       261.223602           5.329723    -3.789906             6.919647             7.192254                        998.139954                     0.000000             256.486542             245.472488              85.000000                        0.0               8.216272               85.000000                    24.798365              0.000000     85.000000                                10.0
2023-02-01T05:51:00+00:00       65.790398                            0.0       252.879715           5.474646    -3.501450             6.896008             8.310787                        998.063660                     0.000000             227.133774             251.017380              85.000000                        0.0               8.481974               85.000000                    24.781681              0.000000     85.000000                                10.0
2023-02-01T06:01:00+00:00       65.958954                            0.0       263.414337           5.950790    -2.992100            10.047663             7.035872                        998.026794                     0.000000             232.905807             251.738495              85.000000                        0.0               8.777433               85.000000                    24.760857              0.000000     85.000000                                10.0
2023-02-01T06:11:00+00:00       65.801384                            0.0       275.506195           6.161648    -2.840630             9.145245             7.920622                        998.061035                     0.000000             271.587860             259.457916              85.000000                        0.0               8.486435               85.000000                    24.735809              0.000000     85.000000                                10.0
2023-02-01T06:21:00+00:00       66.166016                            0.0       268.045441           6.114981    -2.769009             5.855883             6.711531                        997.982605                     0.000000             265.221252             259.149414              85.000000                        0.0               8.111881               85.000000                    24.714926              0.000000     85.000000                                10.0
2023-02-01T06:31:00+00:00       66.478882                            0.0       250.812958           6.277893    -2.513664             4.562999             6.742150                        997.769165                     0.000000             265.639923             259.448761              85.000000                        0.0               7.929171               85.000000                    24.694031              0.000000     85.000000                                10.0
2023-02-01T06:41:00+00:00       66.765190                            0.0       254.255585           6.439577    -2.268162             5.661846             6.303540                        997.800110                     0.000000             236.463287             256.384796              85.000000                        0.0               7.800434               85.000000                    24.673119              0.000000     85.000000                                10.0
2023-02-01T06:51:00+00:00       66.871094                            0.0       244.483459           6.439577    -2.234715             5.853559             6.433930                        997.621460                     0.000000             277.268890             252.570160              85.000000                        0.0               7.777370               85.000000                    24.648022              0.000000     85.000000                                10.0
2023-02-01T07:01:00+00:00       66.968910                            0.0       246.730637           6.577169    -2.071983             7.375176             7.185355                        997.597778                     0.000000             260.694244             258.398132              85.000000                        0.0               7.745043               85.000000                    24.627079              0.000000     85.000000                                10.0
2023-02-01T07:11:00+00:00       67.316200                            0.0       271.747894           6.600019    -1.940804             5.804070             7.298968                        997.723450                     0.000000             271.948303             262.135468              85.000000                        0.0               7.666342               85.000000                    24.601913              0.000000     85.000000                                10.0
2023-02-01T07:21:00+00:00       67.599808                            0.0       263.370789           6.347336    -2.094364             5.316376             5.808477                        997.729614                     0.000000             261.154022             253.430374              85.000000                        0.0               7.610601               85.000000                    24.580933              0.000000     85.000000                                10.0
