              MeasureTime  Rel. Humidity%  Wind Direction  Brightnesslx  Air TemperatureF  Wind Speed (act)mph  Precipitation Intensityin/h  Visibilitymiles  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface TemperatureF  Freezing TemperatureF  Sub Surface Temperature 3F  Water Film Heightmil  ground temperature (0")F  ground temperature (3")F  ground temperature (6")F  ground temperature (9")F  ground temperature (12")F  ground temperature (18")F  ground temperature (24")F  ground temperature (30")F  ground temperature (36")F  ground temperature (42")F
2023-01-01T05:09:00+00:00       91.927661         0.574863           0.0          32.057695                  0.0                     0.000000         3.815218               4.900553  0.796600      0.071988                                25.0              30.968714               26.621937                         84.0              1.821714                        40.0                   31.874001                   31.982000                   32.396000                    33.278000                    33.439999                    34.340000                    34.987999                    35.815998                    36.391998
2023-01-01T05:20:00+00:00       92.036023         0.574863           0.0          32.041209                  0.0                     0.000000         3.479678               4.515168  0.796676      0.074980                                25.0              30.973017               27.068132                         84.0              2.662304                        40.0                   31.874001                   32.000000                   32.396000                    33.242001                    33.439999                    34.321999                    34.970001                    35.779999                    36.428001
2023-01-01T05:29:00+00:00       92.113861         0.574863           0.0          32.043956                  0.0                     0.000000         3.200061               4.709551  0.796197      0.074861                                25.0              30.951418               26.843721                         84.0              2.435991                        40.0                   31.874001                   31.964001                   32.377998                    33.223999                    33.493999                    34.358002                    35.006001                    35.798000                    36.410000
2023-01-01T05:39:00+00:00       92.298541         0.581044           0.0          32.027477                  0.0                     0.000000         2.870734               4.758343  0.795513      0.076584                                25.0              30.921165               26.787188                         84.0              1.854044                        40.0                   31.856001                   31.964001                   32.396000                    33.296001                    33.439999                    34.304001                    34.970001                    35.798000                    36.428001
2023-01-01T05:49:00+00:00       92.384009         0.587225           0.0          32.068686                  0.0                     0.000000         2.491698               4.748366  0.795316      0.077288                                25.0              30.912518               26.798754                         84.0              1.563070                        40.0                   31.856001                   31.964001                   32.396000                    33.259998                    33.458000                    34.321999                    34.987999                    35.815998                    36.410000
2023-01-01T05:59:00+00:00       92.306171         0.574863           0.0          32.035717                  0.0                     0.000000         2.615972               4.700315  0.795117      0.078340                                25.0              30.903870               26.854412                         84.0              1.336758                        40.0                   31.856001                   31.982000                   32.396000                    33.242001                    33.476002                    34.321999                    34.987999                    35.762001                    36.445999
2023-01-01T06:10:00+00:00       92.341272         0.574863           0.0          32.021978                  0.0                     0.000000         2.690536               4.441115  0.795199      0.080384                                25.0              30.908205               27.153286                         84.0              2.823956                        40.0                   31.837999                   31.964001                   32.414001                    33.259998                    33.529999                    34.321999                    34.970001                    35.798000                    36.428001
2023-01-01T06:20:00+00:00       92.533582         0.581044           0.0          32.005499                  0.0                     0.000000         2.454415               4.545174  0.795206      0.079439                                25.0              30.908205               27.033575                         84.0              2.920947                        40.0                   31.856001                   31.964001                   32.414001                    33.242001                    33.493999                    34.321999                    34.987999                    35.798000                    36.428001
2023-01-01T06:30:00+00:00       92.573267         0.574863           0.0          32.049455                  0.0                     0.000000         2.504125               4.858442  0.795421      0.075988                                25.0              30.916853               26.670944                         84.0              2.468322                        40.0                   31.820000                   31.982000                   32.414001                    33.259998                    33.476002                    34.358002                    34.970001                    35.779999                    36.391998
2023-01-01T06:39:00+00:00       92.429797         0.574863           0.0          32.098905                  0.0                     0.000000         2.504125               4.898554  0.795227      0.076230                                25.0              30.908205               26.624264                         84.0              1.886374                        40.0                   31.837999                   31.982000                   32.414001                    33.278000                    33.476002                    34.321999                    34.970001                    35.798000                    36.428001
2023-01-01T06:50:00+00:00       92.400800         0.581044           0.0          32.071433                  0.0                     0.000000         2.361210               4.966121  0.795133      0.075917                                25.0              30.903870               26.545506                         84.0              2.145018                        40.0                   31.856001                   32.018002                   32.414001                    33.259998                    33.476002                    34.304001                    35.023998                    35.798000                    36.410000
2023-01-01T07:00:00+00:00       92.472534         0.568681           0.0          32.104398                  0.0                     0.000000         2.410919               4.984643  0.794348      0.078142                                25.0              30.869223               26.523884                         84.0              1.692392                        40.0                   31.874001                   32.000000                   32.377998                    33.242001                    33.493999                    34.321999                    34.987999                    35.815998                    36.428001
2023-01-01T07:00:00+00:00       92.472534         0.568681           0.0          32.104398                  0.0                     0.000000         2.410919               4.984643  0.794348      0.078142                                25.0              30.869223               26.523884                         84.0              1.692392                        40.0                   31.874001                   32.000000                   32.377998                    33.242001                    33.493999                    34.321999                    34.987999                    35.815998                    36.428001
2023-01-01T07:10:00+00:00       92.391638         0.574863           0.0          32.101651                  0.0                     0.000000         2.224508               5.026359  0.794449      0.077451                                25.0              30.873569               26.475147                         84.0              1.627731                        40.0                   31.837999                   32.000000                   32.377998                    33.242001                    33.476002                    34.340000                    34.970001                    35.815998                    36.391998
2023-01-01T07:19:00+00:00       92.442004         0.574863           0.0          32.093411                  0.0                     0.000000         2.299073               4.921960  0.795229      0.076018                                25.0              30.908205               26.597000                         84.0              3.341242                        40.0                   31.892000                   32.000000                   32.377998                    33.242001                    33.476002                    34.340000                    35.006001                    35.798000                    36.410000
2023-01-01T07:30:00+00:00       92.609894         0.581044           0.0          32.123629                  0.0                     0.000000         2.050524               5.022439  0.794645      0.076892                                25.0              30.882227               26.479731                         84.0              2.242009                        40.0                   31.837999                   31.982000                   32.396000                    33.242001                    33.458000                    34.340000                    34.987999                    35.762001                    36.428001
2023-01-01T07:39:00+00:00       92.561053         0.581044           0.0          32.148354                  0.0                     0.000000         2.087807               5.006762  0.794644      0.077038                                25.0              30.882227               26.498051                         84.0              1.854044                        40.0                   31.837999                   31.982000                   32.377998                    33.223999                    33.493999                    34.375999                    34.987999                    35.815998                    36.410000
2023-01-01T07:50:00+00:00       92.593109         0.574863           0.0          32.184070                  0.0                     0.000000         2.255577               5.017920  0.795038      0.075743                                25.0              30.899529               26.485012                         84.0              2.048026                        40.0                   31.892000                   31.982000                   32.450001                    33.259998                    33.476002                    34.375999                    34.970001                    35.779999                    36.445999
2023-01-01T08:00:00+00:00       92.702997         0.574863           0.0          32.304947                  0.0                     0.000000         3.237343               5.030428  0.793860      0.079201                                25.0              30.847557               26.470390                         84.0              1.757053                        40.0                   31.874001                   31.982000                   32.431999                    33.242001                    33.493999                    34.340000                    34.987999                    35.779999                    36.428001
2023-01-01T08:00:00+00:00       92.702997         0.574863           0.0          32.304947                  0.0                     0.000000         3.237343               5.030428  0.793860      0.079201                                25.0              30.847557               26.470390                         84.0              1.757053                        40.0                   31.874001                   31.982000                   32.431999                    33.242001                    33.493999                    34.340000                    34.987999                    35.779999                    36.428001
2023-01-01T08:10:00+00:00       92.619055         0.587225           0.0          32.291209                  0.0                     0.000000         3.746867               5.031947  0.793565      0.080078                                25.0              30.834574               26.468615                         84.0              1.660061                        40.0                   31.874001                   31.982000                   32.377998                    33.296001                    33.493999                    34.321999                    35.006001                    35.762001                    36.428001
2023-01-01T08:19:00+00:00       92.406903         0.574863           0.0          32.368136                  0.0                     0.000000         3.889782               5.013742  0.794350      0.077869                                25.0              30.869223               26.489895                         84.0              1.563070                        40.0                   31.856001                   32.000000                   32.414001                    33.242001                    33.493999                    34.340000                    34.987999                    35.779999                    36.410000
2023-01-01T08:30:00+00:00       92.556476         0.581044           0.0          32.332419                  0.0                     0.000000         3.908424               5.013911  0.794645      0.076972                                25.0              30.882227               26.489697                         84.0              1.724722                        40.0                   31.874001                   32.000000                   32.414001                    33.278000                    33.439999                    34.358002                    34.952000                    35.779999                    36.410000
2023-01-01T08:40:00+00:00       92.677051         0.568681           0.0          32.335165                  0.0                     0.000000         3.908424               4.885237  0.794538      0.078472                                25.0              30.877882               26.639769                         84.0              2.274339                        40.0                   31.874001                   32.000000                   32.450001                    33.278000                    33.493999                    34.340000                    35.006001                    35.798000                    36.428001
2023-01-01T08:50:00+00:00       92.820520         0.581044           0.0          32.370883                  0.0                     0.000000         3.709585               4.894296  0.794834      0.077479                                25.0              30.890877               26.629223                         84.0              1.951035                        40.0                   31.874001                   32.000000                   32.414001                    33.223999                    33.476002                    34.321999                    34.970001                    35.798000                    36.410000
2023-01-01T08:59:00+00:00       93.014349         0.574863           0.0          32.601650                  0.0                     0.000000         3.243557               4.661732  0.795507      0.077450                                25.0              30.921165               26.899048                         84.0              3.017938                        40.0                   31.892000                   32.000000                   32.431999                    33.242001                    33.512001                    34.340000                    34.970001                    35.762001                    36.428001
2023-01-01T09:10:00+00:00       92.809833         0.574863           0.0          32.980771                  0.0                     0.000000         3.405113               4.752027  0.795905      0.075410                                25.0              30.938477               26.794510                         84.0              2.177348                        40.0                   31.892000                   32.018002                   32.414001                    33.296001                    33.439999                    34.358002                    34.970001                    35.762001                    36.428001
2023-01-01T09:19:00+00:00       92.417584         0.581044           0.0          33.087916                  0.0                     0.000000         4.411734               4.807873  0.796105      0.074308                                25.0              30.947115               26.729713                         84.0              1.983365                        40.0                   31.856001                   32.000000                   32.414001                    33.259998                    33.493999                    34.340000                    35.006001                    35.798000                    36.428001
2023-01-01T09:29:00+00:00       92.110809         0.574863           0.0          33.101649                  0.0                     0.000000         4.411734               4.789597  0.793647      0.082122                                25.0              30.838890               26.750931                         84.0              1.789383                        40.0                   31.856001                   32.000000                   32.396000                    33.259998                    33.512001                    34.358002                    34.987999                    35.779999                    36.391998
2023-01-01T09:39:00+00:00       91.971924         0.581044           0.0          33.035720                  0.0                     0.000000         4.169399               4.837408  0.790298      0.092051                                25.0              30.691156               26.695400                         84.0              1.854044                        40.0                   31.856001                   32.000000                   32.414001                    33.278000                    33.458000                    34.340000                    34.987999                    35.779999                    36.410000
2023-01-01T09:49:00+00:00       91.784192         0.581044           0.0          33.137366                  0.0                     0.000000         4.411734               3.922506  0.789949      0.100805                                25.0              30.678085               27.744638                         84.0              1.886374                        40.0                   31.837999                   31.964001                   32.431999                    33.278000                    33.493999                    34.340000                    34.987999                    35.779999                    36.410000
2023-01-01T10:00:00+00:00       91.626990         0.587225           0.0          33.071430                  0.0                     0.000000         4.411734               4.046601  0.786568      0.113081                                25.0              30.529638               27.603914                         84.0              1.692392                        40.0                   31.856001                   32.000000                   32.396000                    33.278000                    33.476002                    34.321999                    35.006001                    35.762001                    36.410000
2023-01-01T10:00:00+00:00       91.626990         0.587225           0.0          33.071430                  0.0                     0.000000         4.411734               4.046601  0.786568      0.113081                                25.0              30.529638               27.603914                         84.0              1.692392                        40.0                   31.856001                   32.000000                   32.396000                    33.278000                    33.476002                    34.321999                    35.006001                    35.762001                    36.410000
2023-01-01T10:10:00+00:00       91.701776         0.574863           0.0          33.021981                  0.0                     0.000000         4.299887               4.024269  0.785371      0.117405                                25.0              30.477093               27.629274                         84.0              1.595401                        40.0                   31.874001                   32.000000                   32.414001                    33.259998                    33.493999                    34.321999                    34.933998                    35.762001                    36.445999
2023-01-01T10:20:00+00:00       91.309528         0.574863           0.0          33.002749                  0.0                     0.000000         4.411734               3.630860  0.786116      0.107964                                25.0              30.507753               28.073517                         84.0              3.276581                        40.0                   31.892000                   31.982000                   32.414001                    33.278000                    33.493999                    34.358002                    35.006001                    35.779999                    36.410000
2023-01-01T10:30:00+00:00       91.376685         0.581044           0.0          32.972531                  0.0                     0.000000         4.411734               3.828613  0.783797      0.119480                                25.0              30.406906               27.850796                         84.0              2.306669                        40.0                   31.874001                   32.000000                   32.396000                    33.259998                    33.493999                    34.340000                    35.023998                    35.798000                    36.391998
2023-01-01T10:40:00+00:00       91.181323         0.587225           0.0          32.934069                  0.0                     0.000000         4.411734               3.805398  0.778393      0.136760                                25.0              30.168911               27.877003                         84.0              1.918705                        40.0                   31.856001                   32.000000                   32.450001                    33.242001                    33.493999                    34.304001                    34.952000                    35.762001                    36.428001
2023-01-01T10:50:00+00:00       91.134009         0.587225           0.0          32.763736                  0.0                     0.000000         3.635020               3.947924  0.765890      0.619715                                25.0              29.751884               27.715853                         84.0              2.888617                        40.0                   31.856001                   31.964001                   32.431999                    33.278000                    33.493999                    34.340000                    34.970001                    35.779999                    36.391998
2023-01-01T10:59:00+00:00       91.127905         0.574863           0.0          32.587916                  0.0                     0.000000         2.473057               4.316497  0.763801      0.184661                                25.0              29.526714               27.296177                         84.0              2.759295                        40.0                   31.892000                   32.000000                   32.431999                    33.296001                    33.493999                    34.304001                    35.023998                    35.779999                    36.391998
2023-01-01T11:10:00+00:00       91.361420         0.581044           0.0          32.467035                  0.0                     0.000000         1.975960               4.470218  0.758964      0.197195                                25.0              29.312820               27.119843                         84.0              2.242009                        40.0                   31.892000                   31.982000                   32.414001                    33.296001                    33.493999                    34.304001                    35.006001                    35.798000                    36.391998
2023-01-01T11:19:00+00:00       91.295795         0.581044           0.0          32.414839                  0.0                     0.000000         1.683915               4.547185  0.747582      0.231970                                25.0              28.811125               27.031258                         84.0              2.048026                        40.0                   31.874001                   32.000000                   32.431999                    33.296001                    33.493999                    34.304001                    35.023998                    35.779999                    36.410000
2023-01-01T11:29:00+00:00       91.144696         0.574863           0.0          32.200551                  0.0                     0.000000         1.503718               4.549593  0.736842      0.266300                                25.0              28.338186               27.028482                         84.0              3.211920                        40.0                   31.837999                   32.000000                   32.450001                    33.259998                    33.529999                    34.321999                    34.952000                    35.779999                    36.391998
2023-01-01T11:39:00+00:00       91.498785         0.581044           0.0          32.010993                  0.0                     0.000000         1.180605               4.669676  0.729157      0.286999                                25.0              27.998606               26.889862                         84.0              2.403661                        40.0                   31.892000                   32.000000                   32.414001                    33.259998                    33.493999                    34.340000                    34.987999                    35.779999                    36.391998
2023-01-01T11:50:00+00:00       91.694147         0.581044           0.0          31.796703                  0.0                     0.000000         0.987980               3.798012  0.671314      8.317478                                35.0              27.816828               27.885338                         84.0              3.632216                        40.0                   31.856001                   31.982000                   32.450001                    33.296001                    33.512001                    34.321999                    34.970001                    35.762001                    36.391998
2023-01-01T12:00:00+00:00       91.517096         0.581044           0.0          31.620884                  0.0                     0.000000         0.851278               4.251652  0.691769      4.996968                                25.0              27.736174               27.370327                         84.0              2.856286                        40.0                   31.874001                   32.000000                   32.431999                    33.296001                    33.493999                    34.340000                    35.023998                    35.798000                    36.428001
2023-01-01T12:00:00+00:00       91.517096         0.581044           0.0          31.620884                  0.0                     0.000000         0.851278               4.251652  0.691769      4.996968                                25.0              27.736174               27.370327                         84.0              2.856286                        40.0                   31.874001                   32.000000                   32.431999                    33.296001                    33.493999                    34.340000                    35.023998                    35.798000                    36.428001
2023-01-01T12:09:00+00:00       92.313800         0.581044           0.0          31.530225                  0.0                     0.000000         0.733218               4.346039  0.651251     10.535562                                25.0              27.582747               27.262348                         84.0              2.274339                        40.0                   31.856001                   32.000000                   32.450001                    33.278000                    33.512001                    34.340000                    34.987999                    35.798000                    36.391998
2023-01-01T12:20:00+00:00       92.278699         0.581044           0.0          31.464289                  0.0                     0.000000         0.658653               3.949083  0.587328     19.522282                                35.0              27.415733               27.714540                         84.0              3.244251                        40.0                   31.910000                   32.000000                   32.450001                    33.278000                    33.493999                    34.321999                    34.970001                    35.815998                    36.410000
2023-01-01T12:30:00+00:00       93.003668         0.574863           0.0          31.274726                  0.0                     0.000000         0.845065               4.139925  0.582958     19.917784                                35.0              27.338324               27.497768                         84.0              2.403661                        40.0                   31.892000                   32.000000                   32.431999                    33.278000                    33.512001                    34.358002                    34.970001                    35.779999                    36.410000
2023-01-01T12:39:00+00:00       93.119666         0.581044           0.0          31.362640                  0.0                     0.000000         0.944484               4.231989  0.575205     20.903406                                35.0              27.286623               27.392784                         84.0              2.145018                        40.0                   31.910000                   32.000000                   32.450001                    33.296001                    33.476002                    34.340000                    35.006001                    35.762001                    36.428001
2023-01-01T12:50:00+00:00       93.171558         0.581044           0.0          31.148357                  0.0                     0.000000         0.857492               4.309967  0.526998     27.280083                                35.0              27.039852               27.303650                         84.0              1.951035                        40.0                   31.837999                   32.018002                   32.450001                    33.278000                    33.476002                    34.340000                    34.987999                    35.779999                    36.391998
