              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Wind Direction (max)  Saline Concentration%  Road Condition Lufftlogic  Friction  Surface TemperatureF  Freezing TemperatureF  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-05-03T17:20:00+00:00       60.696236                            0.0       337.340973          48.379372    35.414383             8.091455                        985.052185             8.014685                     0.000000             331.295471                    0.0                        0.0  0.000000               0.000000                     0.0              0.000000           0.0                                 0.0
2023-05-03T17:30:00+00:00       59.926113                            0.0        14.063550          49.866581    36.493797             9.159163                        985.182434             6.011737                     0.000000              20.874609                   85.0                       99.0  0.820000              73.763809                    85.0              0.000000          85.0                                10.0
2023-05-03T17:40:00+00:00       57.622986                            0.0        23.489441          49.149040    34.829544             3.473312                        985.175598             8.868937                     0.000000             348.051422                   85.0                        0.0  0.820000              74.894081                    85.0              0.000000          85.0                                10.0
2023-05-03T17:50:00+00:00       56.382378                            0.0        37.463844          49.598763    34.703438             2.733221                        985.143860             6.136667                     0.000000              23.322710                   85.0                        0.0  0.820000              75.636185                    85.0              0.000000          85.0                                10.0
2023-05-03T18:00:00+00:00       57.492935                            0.0       331.810028          49.801910    35.384922             5.630616                        985.105774             5.916506                     0.000000             321.212311                   85.0                        0.0  0.820000              77.055557                    85.0              0.000000          85.0                                10.0
2023-05-03T18:00:00+00:00       57.492935                            0.0       331.810028          49.801910    35.384922             5.630616                        985.105774             5.916506                     0.000000             321.212311                   85.0                        0.0  0.820000              77.055557                    85.0              0.000000          85.0                                10.0
2023-05-03T18:10:00+00:00       54.965004                            0.0        60.910736          50.913582    35.290691             1.918614                        984.938721             4.437388                     0.000000             306.823883                   85.0                        0.0  0.820000              78.170464                    85.0              0.000000          85.0                                10.0
2023-05-03T18:20:00+00:00       52.515778                            0.0         0.281575          51.045601    34.266972             8.456633                        984.747620             5.674949                     0.000000             330.770569                   85.0                        0.0  0.820000              79.145081                    85.0              0.000000          85.0                                10.0
2023-05-03T18:30:00+00:00       51.534855                            0.0       239.494980          52.042671    34.717400             5.915912                        984.814880             4.130372                     0.000000             355.813324                   85.0                        0.0  0.820000              80.265259                    85.0              0.000000          85.0                                10.0
2023-05-03T18:40:00+00:00       50.093628                            0.0       274.455994          52.590141    34.510452             1.317008                        984.602966             5.640638                     0.000000             330.918152                   85.0                        0.0  0.820000              81.042351                    85.0              0.000000          85.0                                10.0
2023-05-03T18:50:00+00:00       52.322025                            0.0       316.386841          51.442581    34.542416             4.518161                        984.539307             7.352870                     0.000000             325.382019                   85.0                        0.0  0.820000              81.710052                    85.0              0.000000          85.0                                10.0
2023-05-03T19:00:00+00:00       50.021877                            0.0       266.267731          52.451363    34.346424             7.545022                        984.503723             4.793751                     0.000000             304.070435                   85.0                        0.0  0.820000              82.675888                    85.0              0.000000          85.0                                10.0
2023-05-03T19:00:00+00:00       50.021877                            0.0       266.267731          52.451363    34.346424             7.545022                        984.503723             4.793751                     0.000000             304.070435                   85.0                        0.0  0.820000              82.675888                    85.0              0.000000          85.0                                10.0
2023-05-03T19:10:00+00:00       48.753284                            0.0       264.587036          53.050968    34.254009             1.033147                        984.399109             5.952363                     0.000000             349.115021                   85.0                        0.0  0.820000              82.981384                    85.0              0.000000          85.0                                10.0
2023-05-03T19:20:00+00:00       49.508121                            0.0       347.626770          52.613541    34.236851             8.244609                        984.295898             7.523190                     0.000000             320.875763                   85.0                        0.0  0.820000              83.278427                    85.0              0.000000          85.0                                10.0
2023-05-03T19:30:00+00:00       47.368202                            0.0       305.751068          55.092838    35.403412             9.399028                        984.329224             3.949671                     0.000000             300.243652                   85.0                        0.0  0.820000              83.936043                    85.0              0.000000          85.0                                10.0
2023-05-03T19:40:00+00:00       48.295845                            0.0       261.865936          53.865074    34.765472             5.993325                        984.193970             5.914475                     0.000000             258.361053                   85.0                        0.0  0.820000              84.597565                    85.0              0.000000          85.0                                10.0
2023-05-03T19:50:00+00:00       49.850689                            0.0       307.779907          55.658699    37.217213             5.128087                        984.136902             6.151477                     0.000000             348.561615                   85.0                        0.0  0.820000              84.780884                    85.0              0.000000          85.0                                10.0
2023-05-03T20:00:00+00:00       45.597538                            0.0       358.155945          54.261768    33.686222             7.079162                        984.047913             7.476315                     0.000000             315.247314                   85.0                        0.0  0.820000              84.329651                    85.0              0.000000          85.0                                10.0
2023-05-03T20:00:00+00:00       45.597538                            0.0       358.155945          54.261768    33.686222             7.079162                        984.047913             7.476315                     0.000000             315.247314                   85.0                        0.0  0.820000              84.329651                    85.0              0.000000          85.0                                10.0
2023-05-03T20:10:00+00:00       46.726692                            0.0       290.853455          54.229618    34.269890             6.121014                        984.094238             7.239977                     0.000000             319.970123                   85.0                        0.0  0.820000              85.116089                    85.0              0.000000          85.0                                10.0
2023-05-03T20:20:00+00:00       45.554909                            0.0       349.236694          55.852032    35.113583            13.353848                        983.901428             6.934642                     0.000000             324.754578                   85.0                        0.0  0.820000              85.024780                    85.0              0.000000          85.0                                10.0
2023-05-03T20:30:00+00:00       42.523849                            0.0         4.849701          55.922890    33.450027             6.016470                        983.949646             6.195588                     0.000000             337.386017                   85.0                        0.0  0.820000              83.781303                    85.0              0.000000          85.0                                10.0
2023-05-03T20:40:00+00:00       44.829754                            0.0       344.225830          55.427574    34.323261            13.777882                        983.699341             7.165294                     0.000000             330.580963                   85.0                        0.0  0.818676              83.589355                    85.0              0.226696          85.0                                10.0
2023-05-03T20:50:00+00:00       43.408482                            0.0       329.256134          55.676826    33.742184             3.364999                        983.623596             8.099146                     0.000000             330.612152                   85.0                        0.0  0.820000              83.433990                    85.0              0.000000          85.0                                10.0
2023-05-03T21:00:00+00:00       44.492226                            0.0        13.052669          56.050766    34.700554             5.083825                        983.584595             7.808942                     0.000000              13.680846                   85.0                        0.0  0.820000              82.660965                    85.0              0.000000          85.0                                10.0
2023-05-03T21:00:00+00:00       44.492226                            0.0        13.052669          56.050766    34.700554             5.083825                        983.584595             7.808942                     0.000000              13.680846                   85.0                        0.0  0.820000              82.660965                    85.0              0.000000          85.0                                10.0
2023-05-03T21:10:00+00:00       43.644024                            0.0       348.030151          56.341759    34.481228             9.421606                        983.528992             7.460519                     0.000000             308.707367                   85.0                        0.0  0.820000              81.308594                    85.0              0.000000          85.0                                10.0
2023-05-03T21:20:00+00:00       42.810280                            0.0         3.653851          56.477058    34.119797             3.839366                        983.362549             5.025515                     0.000000             344.206787                   85.0                        0.0  0.820000              79.675644                    85.0              0.000000          85.0                                10.0
2023-05-03T21:30:00+00:00       43.035851                            0.0       310.626068          56.650574    34.408844             9.535734                        983.501282             4.980665                     0.000000              54.842896                   85.0                        0.0  0.820000              79.082001                    85.0              0.000000          85.0                                10.0
2023-05-03T21:40:00+00:00       43.147015                            0.0       344.624542          56.902950    34.702370             2.952277                        983.588867             7.568695                     0.000000             332.794830                   85.0                        0.0  0.820000              78.892616                    85.0              0.000000          85.0                                10.0
2023-05-03T21:50:00+00:00       42.996910                            0.0       326.715057          58.031700    35.637226             5.096111                        983.486938             5.732227                     0.000000             320.799561                   85.0                        0.0  0.820000              79.578156                    85.0              0.000000          85.0                                10.0
2023-05-03T22:00:00+00:00       40.593697                            0.0       276.835541          58.392410    34.514229             9.608314                        983.442383             5.967595                     0.000000             292.538879                   85.0                        0.0  0.820000              78.983841                    85.0              0.000000          85.0                                10.0
2023-05-03T22:00:00+00:00       40.593697                            0.0       276.835541          58.392410    34.514229             9.608314                        983.442383             5.967595                     0.000000             292.538879                   85.0                        0.0  0.820000              78.983841                    85.0              0.000000          85.0                                10.0
2023-05-03T22:10:00+00:00       40.181767                            0.0       134.699738          58.194767    34.080521             7.001471                        983.548828             3.921862                     0.000000             271.283966                   85.0                        0.0  0.820000              78.453575                    85.0              0.000000          85.0                                10.0
2023-05-03T22:20:00+00:00       49.957157                            0.0       176.904480          55.849243    37.447128             3.423520                        983.489380             3.133846                     0.000000             154.162064                   85.0                        0.0  0.820000              76.728470                    85.0              0.000000          85.0                                10.0
2023-05-03T22:30:00+00:00       49.991325                            0.0       134.195114          55.265995    36.926807             8.192408                        983.394775             5.207379                     0.000000             130.240753                   85.0                        0.0  0.820000              76.131508                    85.0              0.000000          85.0                                10.0
2023-05-03T22:40:00+00:00       51.100960                            0.0       123.261780          54.540352    36.814339             8.015311                        983.531921             5.725124                     0.000000             134.811157                   85.0                        0.0  0.820000              74.318146                    85.0              0.000000          85.0                                10.0
2023-05-03T22:50:00+00:00       50.995892                            0.0       145.295334          54.671829    36.883610             7.409689                        983.576965             6.205422                     0.000000             135.273499                   85.0                        0.0  0.820000              72.746613                    85.0              0.000000          85.0                                10.0
2023-05-03T23:00:00+00:00       51.063641                            0.0       153.122360          55.382813    37.574474             4.725368                        983.581909             5.660645                     0.000000             158.705200                   85.0                        0.0  0.820000              71.871445                    85.0              0.000000          85.0                                10.0
2023-05-03T23:00:00+00:00       51.063641                            0.0       153.122360          55.382813    37.574474             4.725368                        983.581909             5.660645                     0.000000             158.705200                   85.0                        0.0  0.820000              71.871445                    85.0              0.000000          85.0                                10.0
2023-05-03T23:10:00+00:00       51.146027                            0.0       192.605148          54.704536    36.988510             3.486571                        983.775757             5.261418                     0.000000             145.813187                   85.0                        0.0  0.820000              71.271660                    85.0              0.000000          85.0                                10.0
2023-05-03T23:20:00+00:00       49.916027                            0.0       164.161469          55.092499    36.728588             5.298461                        983.898254             3.975541                     0.000000             146.117813                   85.0                        0.0  0.820000              70.483971                    85.0              0.000000          85.0                                10.0
2023-05-03T23:30:00+00:00       50.444759                            0.0       145.440186          55.068821    36.974274             5.720196                        983.842102             4.577958                     0.000000             165.827209                   85.0                        0.0  0.820000              69.665192                    85.0              0.000000          85.0                                10.0
2023-05-03T23:40:00+00:00       49.414246                            0.0       159.905029          55.416245    36.770443             4.659758                        983.778381             4.064663                     0.000000             147.219254                   85.0                        0.0  0.820000              69.004410                    85.0              0.000000          85.0                                10.0
2023-05-03T23:50:00+00:00       48.357868                            0.0       191.689636          55.528393    36.325661             5.731369                        983.704651             4.037241                     0.000000             140.194702                   85.0                        0.0  0.820000              68.307312                    85.0              0.000000          85.0                                10.0
2023-05-04T00:00:00+00:00       46.919621                            0.0       157.458771          55.404945    35.449207             4.481666                        983.851257             4.953345                     0.000000             195.488297                   85.0                        0.0  0.820000              67.773575                    85.0              0.000000          85.0                                10.0
2023-05-04T00:00:00+00:00       46.919621                            0.0       157.458771          55.404945    35.449207             4.481666                        983.851257             4.953345                     0.000000             195.488297                   85.0                        0.0  0.820000              67.773575                    85.0              0.000000          85.0                                10.0
2023-05-04T00:10:00+00:00       48.258457                            0.0       158.928268          55.413399    36.167950             3.405590                        983.806641             4.578718                     0.000000             164.436279                   85.0                        0.0  0.820000              67.115616                    85.0              0.000000          85.0                                10.0
2023-05-04T00:20:00+00:00       49.078571                            0.0       161.383362          55.627991    36.792324             2.751340                        983.711548             3.776074                     0.000000             160.237503                   85.0                        0.0  0.820000              66.649979                    85.0              0.000000          85.0                                10.0
2023-05-04T00:30:00+00:00       48.027611                            0.0       189.329422          55.817112    36.417107             6.590536                        983.747986             5.547441                     0.000000             207.133530                   85.0                        0.0  0.820000              65.949387                    85.0              0.000000          85.0                                10.0
2023-05-04T00:40:00+00:00       48.808697                            0.0       189.034851          55.593414    36.620621             4.591807                        983.788879             5.076945                     0.000000             165.535843                   85.0                        0.0  0.820000              65.082047                    85.0              0.000000          85.0                                10.0
2023-05-04T00:50:00+00:00       49.633171                            0.0       165.616135          55.226402    36.707794             5.616723                        983.754211             4.915571                     0.000000             164.704819                   85.0                        0.0  0.820000              64.421616                    85.0              0.000000          85.0                                10.0
2023-05-04T01:00:00+00:00       50.444523                            0.0       182.689194          55.066292    36.971821             1.631153                        983.763000             3.507156                     0.000000             160.979156                   85.0                        0.0  0.820000              63.935249                    85.0              0.000000          85.0                                10.0
2023-05-04T01:00:00+00:00       50.444523                            0.0       182.689194          55.066292    36.971821             1.631153                        983.763000             3.507156                     0.000000             160.979156                   85.0                        0.0  0.820000              63.935249                    85.0              0.000000          85.0                                10.0
2023-05-04T01:10:00+00:00       50.853096                            0.0       171.660477          55.336411    37.426388             2.844077                        983.763489             3.239128                     0.000000             160.928268                   85.0                        0.0  0.820000              63.417336                    85.0              0.000000          85.0                                10.0
2023-05-04T01:20:00+00:00       51.699085                            0.0       202.599945          55.261730    37.777668             1.617895                        983.781982             2.856376                     0.000000             159.339096                   85.0                        0.0  0.820000              62.727409                    85.0              0.000000          85.0                                10.0
2023-05-04T01:30:00+00:00       51.050682                            0.0       224.848480          55.865055    38.013687             2.768678                        983.874817             3.879690                     0.000000             217.832565                   85.0                        0.0  0.820000              62.264008                    85.0              0.000000          85.0                                10.0
2023-05-04T01:40:00+00:00       51.103039                            0.0       226.925400          55.796280    37.976280             2.730572                        983.928406             3.003169                     0.000000             248.292938                   85.0                        0.0  0.820000              61.823269                    85.0              0.000000          85.0                                10.0
2023-05-04T01:50:00+00:00       50.784309                            0.0       211.938446          55.853767    37.869770             2.475841                        983.873962             3.862777                     0.000000             246.694839                   85.0                        0.0  0.820000              61.379234                    85.0              0.000000          85.0                                10.0
2023-05-04T02:00:00+00:00       51.177258                            0.0       238.539673          55.647785    37.876053             3.605899                        983.793579             2.607513                     0.000000             219.178467                   85.0                        0.0  0.820000              61.003002                    85.0              0.000000          85.0                                10.0
2023-05-04T02:00:00+00:00       51.177258                            0.0       238.539673          55.647785    37.876053             3.605899                        983.793579             2.607513                     0.000000             219.178467                   85.0                        0.0  0.820000              61.003002                    85.0              0.000000          85.0                                10.0
2023-05-04T02:10:00+00:00       51.422810                            0.0       237.947144          55.445885    37.811432             3.123280                        983.978027             2.553638                     0.000000             242.779648                   85.0                        0.0  0.820000              60.604332                    85.0              0.000000          85.0                                10.0
