Model,Epoch,Train Loss,Validation Loss,Train MSE,Validation MSE,Train MAE,Validation MAE
Simple LSTM,91,1139.354736328125,1119.2005615234375,1139.354736328125,1119.2005615234375,26.07862663269043,25.645505905151367
Simple LSTM,92,1119.2110595703125,1099.9759521484375,1119.2110595703125,1099.9759521484375,25.8461971282959,25.4940185546875
Simple LSTM,93,1099.5455322265625,1080.2701416015625,1099.5455322265625,1080.2701416015625,25.621240615844727,25.212963104248047
Simple LSTM,94,1079.8685302734375,1061.4539794921875,1079.8685302734375,1061.4539794921875,25.380212783813477,25.02027130126953
Simple LSTM,95,1060.8916015625,1042.9395751953125,1060.8916015625,1042.9395751953125,25.168094635009766,24.810983657836914
Simple LSTM,96,1042.092529296875,1024.583740234375,1042.092529296875,1024.583740234375,24.948715209960938,24.62415313720703
Simple LSTM,97,1023.531005859375,1006.4775390625,1023.531005859375,1006.4775390625,24.730188369750977,24.39008140563965
Simple LSTM,98,1005.406005859375,989.0324096679688,1005.406005859375,989.0324096679688,24.52015495300293,24.22800636291504
Simple LSTM,99,987.6288452148438,971.4867553710938,987.6288452148438,971.4867553710938,24.311548233032227,24.008167266845703
Simple LSTM,100,970.0753173828125,954.640625,970.0753173828125,954.640625,24.10737419128418,23.839839935302734
Simple LSTM,101,952.9318237304688,938.0013427734375,952.9318237304688,938.0013427734375,23.90861701965332,23.62566566467285
Simple LSTM,102,936.2620849609375,921.6253662109375,936.2620849609375,921.6253662109375,23.71552848815918,23.453718185424805
Simple LSTM,103,919.7462768554688,905.8837280273438,919.7462768554688,905.8837280273438,23.51460838317871,23.299545288085938
Simple LSTM,104,903.6428833007812,890.168701171875,903.6428833007812,890.168701171875,23.32532501220703,23.121686935424805
Simple LSTM,105,887.942626953125,875.4195556640625,887.942626953125,875.4195556640625,23.144248962402344,22.979501724243164
Simple LSTM,106,872.445556640625,859.8065795898438,872.445556640625,859.8065795898438,22.954694747924805,22.771148681640625
Simple LSTM,107,857.292236328125,845.2122802734375,857.292236328125,845.2122802734375,22.76994514465332,22.609304428100586
Simple LSTM,108,842.4957275390625,830.8650512695312,842.4957275390625,830.8650512695312,22.595081329345703,22.442264556884766
Simple LSTM,109,828.0709228515625,816.777099609375,828.0709228515625,816.777099609375,22.425817489624023,22.279516220092773
Simple LSTM,110,813.9614868164062,803.7418212890625,813.9614868164062,803.7418212890625,22.25480842590332,22.157318115234375
Simple LSTM,111,800.1238403320312,790.0895385742188,800.1238403320312,790.0895385742188,22.082496643066406,21.980436325073242
Simple LSTM,112,786.4420776367188,776.98095703125,786.4420776367188,776.98095703125,21.918699264526367,21.799718856811523
Simple LSTM,113,773.5487670898438,763.9042358398438,773.5487670898438,763.9042358398438,21.772180557250977,21.66488265991211
Simple LSTM,114,760.484375,751.4803466796875,760.484375,751.4803466796875,21.604900360107422,21.527603149414062
Simple LSTM,115,748.049072265625,739.2239379882812,748.049072265625,739.2239379882812,21.45804214477539,21.37248992919922
Simple LSTM,116,735.64306640625,727.583251953125,735.64306640625,727.583251953125,21.300487518310547,21.251598358154297
Simple LSTM,117,723.7846069335938,715.7373657226562,723.7846069335938,715.7373657226562,21.15957260131836,21.08399200439453
Simple LSTM,118,712.1751708984375,705.1321411132812,712.1751708984375,705.1321411132812,21.016342163085938,20.99404525756836
Simple LSTM,119,700.6381225585938,694.6878051757812,700.6381225585938,694.6878051757812,20.866867065429688,20.889934539794922
Simple LSTM,120,680.8156127929688,671.2696533203125,680.8156127929688,671.2696533203125,20.416345596313477,20.294864654541016
Simple LSTM,121,666.8660888671875,657.9866333007812,666.8660888671875,657.9866333007812,20.182024002075195,20.067907333374023
Simple LSTM,122,653.5779418945312,646.4415893554688,653.5779418945312,646.4415893554688,19.95644187927246,19.91092872619629
Simple LSTM,123,642.6559448242188,635.7520141601562,642.6559448242188,635.7520141601562,19.82016372680664,19.77142333984375
Simple LSTM,124,632.0618896484375,625.3748779296875,632.0618896484375,625.3748779296875,19.688060760498047,19.640064239501953
Simple LSTM,125,621.4833374023438,615.2494506835938,621.4833374023438,615.2494506835938,19.542457580566406,19.48711395263672
Simple LSTM,126,611.6182861328125,605.3848876953125,611.6182861328125,605.3848876953125,19.42093276977539,19.363327026367188
Simple LSTM,127,599.45703125,586.4000854492188,599.45703125,586.4000854492188,19.20236587524414,18.868288040161133
Simple LSTM,128,581.7299194335938,574.9200439453125,581.7299194335938,574.9200439453125,18.781333923339844,18.722631454467773
Simple LSTM,129,571.411865234375,565.2166748046875,571.411865234375,565.2166748046875,18.635393142700195,18.57122039794922
Simple LSTM,130,562.0098266601562,555.6348266601562,562.0098266601562,555.6348266601562,18.5136661529541,18.44190788269043
Simple LSTM,131,552.7681274414062,546.911865234375,552.7681274414062,546.911865234375,18.39142417907715,18.327903747558594
Simple LSTM,132,544.302978515625,538.1181030273438,544.302978515625,538.1181030273438,18.28778076171875,18.210681915283203
Simple LSTM,133,535.2728271484375,529.9970092773438,535.2728271484375,529.9970092773438,18.15209197998047,18.10749626159668
Simple LSTM,134,527.15283203125,521.6463012695312,527.15283203125,521.6463012695312,18.050519943237305,18.005420684814453
Simple LSTM,135,519.0093994140625,513.816650390625,519.0093994140625,513.816650390625,17.94304656982422,17.893131256103516
Simple LSTM,136,511.35858154296875,506.5391845703125,511.35858154296875,506.5391845703125,17.839109420776367,17.81553840637207
Simple LSTM,137,503.8002624511719,500.39471435546875,503.8002624511719,500.39471435546875,17.738994598388672,17.771881103515625
Simple LSTM,138,496.62847900390625,492.6800231933594,496.62847900390625,492.6800231933594,17.64655113220215,17.65549087524414
Simple LSTM,139,489.4354248046875,485.4183654785156,489.4354248046875,485.4183654785156,17.545259475708008,17.543970108032227
Simple LSTM,140,482.6736755371094,479.0420227050781,482.6736755371094,479.0420227050781,17.45461654663086,17.464292526245117
Simple LSTM,141,476.06365966796875,472.46844482421875,476.06365966796875,472.46844482421875,17.367450714111328,17.366968154907227
Simple LSTM,142,469.6300048828125,466.2256774902344,469.6300048828125,466.2256774902344,17.267230987548828,17.27736473083496
Simple LSTM,143,463.7208557128906,459.84918212890625,463.7208557128906,459.84918212890625,17.19863510131836,17.177936553955078
Simple LSTM,144,457.6722412109375,455.2662048339844,457.6722412109375,455.2662048339844,17.117401123046875,17.166627883911133
Simple LSTM,145,451.83575439453125,449.31903076171875,451.83575439453125,449.31903076171875,17.034225463867188,17.069591522216797
Simple LSTM,146,446.334716796875,443.92498779296875,446.334716796875,443.92498779296875,16.95941734313965,17.0070858001709
Simple LSTM,147,440.79010009765625,438.6412048339844,440.79010009765625,438.6412048339844,16.880237579345703,16.891643524169922
Simple LSTM,148,435.8729248046875,433.82305908203125,435.8729248046875,433.82305908203125,16.815902709960938,16.856433868408203
Simple LSTM,149,431.1228942871094,428.20672607421875,431.1228942871094,428.20672607421875,16.75965118408203,16.774633407592773
Simple LSTM,150,426.2021484375,424.014404296875,426.2021484375,424.014404296875,16.688188552856445,16.745206832885742
Stacked LSTM,1,4497.52685546875,4247.82177734375,4497.52685546875,4247.82177734375,59.653778076171875,57.41643142700195
Stacked LSTM,2,4155.15478515625,3976.9716796875,4155.15478515625,3976.9716796875,56.74574661254883,55.041282653808594
Stacked LSTM,3,3921.62451171875,3770.33251953125,3921.62451171875,3770.33251953125,54.69362258911133,53.16916275024414
Stacked LSTM,4,3725.2236328125,3586.456298828125,3725.2236328125,3586.456298828125,52.91401290893555,51.457035064697266
Stacked LSTM,5,3546.438720703125,3416.49609375,3546.438720703125,3416.49609375,51.251731872558594,49.83717727661133
Stacked LSTM,6,3380.1494140625,3257.272216796875,3380.1494140625,3257.272216796875,49.658470153808594,48.28607940673828
Stacked LSTM,7,3223.710205078125,3107.44189453125,3223.710205078125,3107.44189453125,48.151702880859375,46.796260833740234
Stacked LSTM,8,3075.888916015625,2965.2197265625,3075.888916015625,2965.2197265625,46.68061828613281,45.35529708862305
Stacked LSTM,9,2935.843505859375,2830.876708984375,2935.843505859375,2830.876708984375,45.27016067504883,43.97438430786133
Stacked LSTM,10,2802.86279296875,2702.84423828125,2802.86279296875,2702.84423828125,43.909706115722656,42.64195251464844
Stacked LSTM,11,2676.576416015625,2581.6181640625,2676.576416015625,2581.6181640625,42.60124206542969,41.37093734741211
Stacked LSTM,12,2556.227294921875,2465.40966796875,2556.227294921875,2465.40966796875,41.34092330932617,40.12544250488281
Stacked LSTM,13,2440.593017578125,2353.596435546875,2440.593017578125,2353.596435546875,40.100677490234375,38.88816452026367
Stacked LSTM,14,2328.418701171875,2243.864501953125,2328.418701171875,2243.864501953125,38.839107513427734,37.60515594482422
Stacked LSTM,15,2220.645751953125,2141.845703125,2220.645751953125,2141.845703125,37.63335037231445,36.510128021240234
Stacked LSTM,16,2118.94921875,2044.311279296875,2118.94921875,2044.311279296875,36.536861419677734,35.48074722290039
Stacked LSTM,17,2021.813720703125,1950.9691162109375,2021.813720703125,1950.9691162109375,35.4968376159668,34.46860122680664
Stacked LSTM,18,1928.7950439453125,1861.556640625,1928.7950439453125,1861.556640625,34.49978256225586,33.51254653930664
Stacked LSTM,19,1839.8680419921875,1775.8614501953125,1839.8680419921875,1775.8614501953125,33.55508804321289,32.575374603271484
Stacked LSTM,20,1754.6612548828125,1694.306640625,1754.6612548828125,1694.306640625,32.64959716796875,31.731313705444336
Stacked LSTM,21,1673.23779296875,1615.91455078125,1673.23779296875,1615.91455078125,31.810781478881836,30.93583869934082
Stacked LSTM,22,1594.140380859375,1539.028076171875,1594.140380859375,1539.028076171875,30.923925399780273,30.047330856323242
Stacked LSTM,23,1517.574951171875,1464.982421875,1517.574951171875,1464.982421875,30.04537582397461,29.236860275268555
Stacked LSTM,24,1444.2109375,1393.427490234375,1444.2109375,1393.427490234375,29.21006202697754,28.356182098388672
Stacked LSTM,25,1373.2899169921875,1324.9444580078125,1373.2899169921875,1324.9444580078125,28.373775482177734,27.502849578857422
Stacked LSTM,26,1305.203857421875,1259.251953125,1305.203857421875,1259.251953125,27.569561004638672,26.791397094726562
Stacked LSTM,27,1239.8018798828125,1195.739990234375,1239.8018798828125,1195.739990234375,26.77707862854004,25.984079360961914
Stacked LSTM,28,1176.8515625,1135.8394775390625,1176.8515625,1135.8394775390625,25.993249893188477,25.333423614501953
Stacked LSTM,29,1116.41162109375,1077.020751953125,1116.41162109375,1077.020751953125,25.223583221435547,24.53879165649414
Stacked LSTM,30,1058.0628662109375,1020.6168212890625,1058.0628662109375,1020.6168212890625,24.447162628173828,23.746166229248047
Stacked LSTM,31,1003.126220703125,967.1705932617188,1003.126220703125,967.1705932617188,23.74078369140625,23.070438385009766
Stacked LSTM,32,949.843994140625,916.3909912109375,949.843994140625,916.3909912109375,23.02288818359375,22.400699615478516
Stacked LSTM,33,899.2800903320312,867.7033081054688,899.2800903320312,867.7033081054688,22.327316284179688,21.7449951171875
Stacked LSTM,34,850.7647705078125,820.6345825195312,850.7647705078125,820.6345825195312,21.646881103515625,21.031890869140625
Stacked LSTM,35,805.193603515625,778.8385620117188,805.193603515625,778.8385620117188,20.999460220336914,20.64727783203125
Stacked LSTM,36,760.781005859375,734.3572998046875,760.781005859375,734.3572998046875,20.327451705932617,19.85787582397461
Stacked LSTM,37,718.6016845703125,693.9551391601562,718.6016845703125,693.9551391601562,19.680572509765625,19.197063446044922
Stacked LSTM,38,679.558349609375,656.8997192382812,679.558349609375,656.8997192382812,19.10369873046875,18.609939575195312
Stacked LSTM,39,643.0768432617188,623.3090209960938,643.0768432617188,623.3090209960938,18.5631103515625,18.319124221801758
Stacked LSTM,40,607.7704467773438,587.45361328125,607.7704467773438,587.45361328125,18.01314926147461,17.54996681213379
Stacked LSTM,41,573.8652954101562,556.4712524414062,573.8652954101562,556.4712524414062,17.449554443359375,17.172561645507812
Stacked LSTM,42,542.6671752929688,525.2705078125,542.6671752929688,525.2705078125,16.952829360961914,16.631118774414062
Stacked LSTM,43,514.1499633789062,497.0435485839844,514.1499633789062,497.0435485839844,16.4981689453125,16.126453399658203
Stacked LSTM,44,486.5198059082031,471.1765441894531,486.5198059082031,471.1765441894531,16.035720825195312,15.694751739501953
Stacked LSTM,45,461.5016174316406,445.46295166015625,461.5016174316406,445.46295166015625,15.63127326965332,15.251934051513672
Stacked LSTM,46,438.14801025390625,424.5040283203125,438.14801025390625,424.5040283203125,15.24808120727539,14.972597122192383
Stacked LSTM,47,416.9864501953125,406.1163330078125,416.9864501953125,406.1163330078125,14.919862747192383,14.69309139251709
Stacked LSTM,48,396.7878723144531,383.3155212402344,396.7878723144531,383.3155212402344,14.583577156066895,14.246804237365723
Stacked LSTM,49,377.6680603027344,364.6387939453125,377.6680603027344,364.6387939453125,14.2671537399292,13.93797492980957
Stacked LSTM,50,360.314208984375,348.36370849609375,360.314208984375,348.36370849609375,13.9900541305542,13.669939994812012
Stacked LSTM,51,343.1864318847656,332.1453857421875,343.1864318847656,332.1453857421875,13.685307502746582,13.442499160766602
Stacked LSTM,52,327.9388122558594,317.8877868652344,327.9388122558594,317.8877868652344,13.431084632873535,13.199310302734375
Stacked LSTM,53,313.9147033691406,303.8319396972656,313.9147033691406,303.8319396972656,13.194640159606934,12.935820579528809
Stacked LSTM,54,301.14691162109375,292.2628173828125,301.14691162109375,292.2628173828125,12.998945236206055,12.892937660217285
Stacked LSTM,55,288.3662414550781,279.3175048828125,288.3662414550781,279.3175048828125,12.774599075317383,12.529966354370117
Stacked LSTM,56,279.4857177734375,271.5149841308594,279.4857177734375,271.5149841308594,12.665966033935547,12.437968254089355
Stacked LSTM,57,267.313232421875,259.7294616699219,267.313232421875,259.7294616699219,12.422801971435547,12.26978588104248
Stacked LSTM,58,257.7751159667969,251.27490234375,257.7751159667969,251.27490234375,12.25264835357666,12.041478157043457
Stacked LSTM,59,248.5980224609375,242.2205810546875,248.5980224609375,242.2205810546875,12.071640968322754,11.928542137145996
Stacked LSTM,60,239.97496032714844,235.31591796875,239.97496032714844,235.31591796875,11.91397476196289,11.901108741760254
Stacked LSTM,61,231.37582397460938,226.8267822265625,231.37582397460938,226.8267822265625,11.716226577758789,11.621987342834473
Stacked LSTM,62,223.95706176757812,217.69642639160156,223.95706176757812,217.69642639160156,11.565099716186523,11.363567352294922
Stacked LSTM,63,216.59274291992188,210.82501220703125,216.59274291992188,210.82501220703125,11.398591995239258,11.30556583404541
Stacked LSTM,64,210.6437225341797,207.72218322753906,210.6437225341797,207.72218322753906,11.286601066589355,11.189332008361816
Stacked LSTM,65,204.78750610351562,199.0841827392578,204.78750610351562,199.0841827392578,11.134692192077637,10.996953010559082
Stacked LSTM,66,198.75326538085938,193.7240753173828,198.75326538085938,193.7240753173828,10.97491455078125,10.918561935424805
Stacked LSTM,67,193.73582458496094,189.82861328125,193.73582458496094,189.82861328125,10.849116325378418,10.697383880615234
Stacked LSTM,68,189.57504272460938,186.5712432861328,189.57504272460938,186.5712432861328,10.73291015625,10.672203063964844
Stacked LSTM,69,185.4621124267578,180.87890625,185.4621124267578,180.87890625,10.62415885925293,10.493233680725098
Stacked LSTM,70,180.89085388183594,177.0631866455078,180.89085388183594,177.0631866455078,10.502152442932129,10.399264335632324
Stacked LSTM,71,174.2946014404297,179.63534545898438,174.2946014404297,179.63534545898438,10.280478477478027,10.334428787231445
Stacked LSTM,72,172.57327270507812,169.6885223388672,172.57327270507812,169.6885223388672,10.21810531616211,10.124082565307617
Stacked LSTM,73,169.16091918945312,168.1643829345703,169.16091918945312,168.1643829345703,10.114234924316406,10.145448684692383
Stacked LSTM,74,164.92652893066406,164.42384338378906,164.92652893066406,164.42384338378906,9.954167366027832,9.968437194824219
Stacked LSTM,75,161.44607543945312,159.29281616210938,161.44607543945312,159.29281616210938,9.831497192382812,9.782633781433105
Stacked LSTM,76,157.5940399169922,163.80979919433594,157.5940399169922,163.80979919433594,9.691404342651367,9.949665069580078
Stacked LSTM,77,154.9365692138672,155.1881103515625,154.9365692138672,155.1881103515625,9.587303161621094,9.571231842041016
Stacked LSTM,78,151.83245849609375,152.0072784423828,151.83245849609375,152.0072784423828,9.467273712158203,9.446120262145996
Stacked LSTM,79,149.98995971679688,149.99081420898438,149.98995971679688,149.99081420898438,9.391575813293457,9.371382713317871
Stacked LSTM,80,148.70712280273438,150.19190979003906,148.70712280273438,150.19190979003906,9.32585334777832,9.437350273132324
Stacked LSTM,81,145.97166442871094,146.993408203125,145.97166442871094,146.993408203125,9.226252555847168,9.26657772064209
Stacked LSTM,82,143.0834503173828,145.53176879882812,143.0834503173828,145.53176879882812,9.10721206665039,9.106500625610352
Stacked LSTM,83,140.66961669921875,143.22938537597656,140.66961669921875,143.22938537597656,8.992547988891602,9.123079299926758
Stacked LSTM,84,139.6800079345703,143.82644653320312,139.6800079345703,143.82644653320312,8.961470603942871,9.07176685333252
Stacked LSTM,85,137.3305206298828,139.05152893066406,137.3305206298828,139.05152893066406,8.869171142578125,8.872349739074707
Stacked LSTM,86,135.35711669921875,137.991943359375,135.35711669921875,137.991943359375,8.78804874420166,8.870831489562988
Stacked LSTM,87,133.05023193359375,142.19949340820312,133.05023193359375,142.19949340820312,8.68991470336914,8.988580703735352
Stacked LSTM,88,130.38636779785156,133.21368408203125,130.38636779785156,133.21368408203125,8.589438438415527,8.63935661315918
