[55]	validation_0-rmse:4.16015	validation_0-mae:2.81560	validation_1-rmse:4.63256	validation_1-mae:3.07142
[56]	validation_0-rmse:4.14511	validation_0-mae:2.80512	validation_1-rmse:4.62238	validation_1-mae:3.06347
[57]	validation_0-rmse:4.13038	validation_0-mae:2.79501	validation_1-rmse:4.61290	validation_1-mae:3.05586
[58]	validation_0-rmse:4.11499	validation_0-mae:2.78494	validation_1-rmse:4.60345	validation_1-mae:3.04853
[59]	validation_0-rmse:4.10162	validation_0-mae:2.77578	validation_1-rmse:4.59530	validation_1-mae:3.04181
[60]	validation_0-rmse:4.08809	validation_0-mae:2.76654	validation_1-rmse:4.58689	validation_1-mae:3.03491
[61]	validation_0-rmse:4.07494	validation_0-mae:2.75733	validation_1-rmse:4.57855	validation_1-mae:3.02791
[62]	validation_0-rmse:4.06263	validation_0-mae:2.74845	validation_1-rmse:4.57099	validation_1-mae:3.02129
[63]	validation_0-rmse:4.04925	validation_0-mae:2.73937	validation_1-rmse:4.56218	validation_1-mae:3.01440
[64]	validation_0-rmse:4.03815	validation_0-mae:2.73151	validation_1-rmse:4.55516	validation_1-mae:3.00862
[65]	validation_0-rmse:4.02554	validation_0-mae:2.72319	validation_1-rmse:4.54656	validation_1-mae:3.00214
[66]	validation_0-rmse:4.01338	validation_0-mae:2.71498	validation_1-rmse:4.53943	validation_1-mae:2.99643
[67]	validation_0-rmse:4.00167	validation_0-mae:2.70676	validation_1-rmse:4.53189	validation_1-mae:2.99031
[68]	validation_0-rmse:3.98965	validation_0-mae:2.69892	validation_1-rmse:4.52469	validation_1-mae:2.98453
[69]	validation_0-rmse:3.97800	validation_0-mae:2.69123	validation_1-rmse:4.51702	validation_1-mae:2.97876
[70]	validation_0-rmse:3.96760	validation_0-mae:2.68410	validation_1-rmse:4.51046	validation_1-mae:2.97377
[71]	validation_0-rmse:3.95681	validation_0-mae:2.67687	validation_1-rmse:4.50413	validation_1-mae:2.96884
[72]	validation_0-rmse:3.94549	validation_0-mae:2.66917	validation_1-rmse:4.49699	validation_1-mae:2.96335
[73]	validation_0-rmse:3.93440	validation_0-mae:2.66191	validation_1-rmse:4.48982	validation_1-mae:2.95810
[74]	validation_0-rmse:3.92397	validation_0-mae:2.65499	validation_1-rmse:4.48334	validation_1-mae:2.95297
[75]	validation_0-rmse:3.91419	validation_0-mae:2.64854	validation_1-rmse:4.47722	validation_1-mae:2.94842
[76]	validation_0-rmse:3.90305	validation_0-mae:2.64103	validation_1-rmse:4.47055	validation_1-mae:2.94311
[77]	validation_0-rmse:3.89209	validation_0-mae:2.63396	validation_1-rmse:4.46412	validation_1-mae:2.93811
[78]	validation_0-rmse:3.88134	validation_0-mae:2.62704	validation_1-rmse:4.45725	validation_1-mae:2.93280
[79]	validation_0-rmse:3.87098	validation_0-mae:2.62025	validation_1-rmse:4.45089	validation_1-mae:2.92797
[80]	validation_0-rmse:3.86127	validation_0-mae:2.61368	validation_1-rmse:4.44483	validation_1-mae:2.92319
[81]	validation_0-rmse:3.85141	validation_0-mae:2.60665	validation_1-rmse:4.43858	validation_1-mae:2.91815
[82]	validation_0-rmse:3.84083	validation_0-mae:2.59963	validation_1-rmse:4.43235	validation_1-mae:2.91324
[83]	validation_0-rmse:3.83098	validation_0-mae:2.59340	validation_1-rmse:4.42647	validation_1-mae:2.90892
[84]	validation_0-rmse:3.82159	validation_0-mae:2.58711	validation_1-rmse:4.42074	validation_1-mae:2.90451
[85]	validation_0-rmse:3.81239	validation_0-mae:2.58080	validation_1-rmse:4.41486	validation_1-mae:2.89995
[86]	validation_0-rmse:3.80361	validation_0-mae:2.57481	validation_1-rmse:4.40972	validation_1-mae:2.89594
[87]	validation_0-rmse:3.79512	validation_0-mae:2.56902	validation_1-rmse:4.40487	validation_1-mae:2.89213
[88]	validation_0-rmse:3.78634	validation_0-mae:2.56329	validation_1-rmse:4.39974	validation_1-mae:2.88835
[89]	validation_0-rmse:3.77804	validation_0-mae:2.55790	validation_1-rmse:4.39534	validation_1-mae:2.88472
[90]	validation_0-rmse:3.76983	validation_0-mae:2.55212	validation_1-rmse:4.39050	validation_1-mae:2.88062
[91]	validation_0-rmse:3.76124	validation_0-mae:2.54660	validation_1-rmse:4.38584	validation_1-mae:2.87696
[92]	validation_0-rmse:3.75286	validation_0-mae:2.54109	validation_1-rmse:4.38114	validation_1-mae:2.87331
[93]	validation_0-rmse:3.74518	validation_0-mae:2.53591	validation_1-rmse:4.37681	validation_1-mae:2.86995
[94]	validation_0-rmse:3.73679	validation_0-mae:2.53047	validation_1-rmse:4.37190	validation_1-mae:2.86608
[95]	validation_0-rmse:3.72859	validation_0-mae:2.52480	validation_1-rmse:4.36748	validation_1-mae:2.86270
[96]	validation_0-rmse:3.72055	validation_0-mae:2.51991	validation_1-rmse:4.36351	validation_1-mae:2.85972
[97]	validation_0-rmse:3.71294	validation_0-mae:2.51444	validation_1-rmse:4.35909	validation_1-mae:2.85601
[98]	validation_0-rmse:3.70519	validation_0-mae:2.50933	validation_1-rmse:4.35523	validation_1-mae:2.85294
[99]	validation_0-rmse:3.69649	validation_0-mae:2.50341	validation_1-rmse:4.35004	validation_1-mae:2.84873
[100]	validation_0-rmse:3.68823	validation_0-mae:2.49836	validation_1-rmse:4.34584	validation_1-mae:2.84538
[101]	validation_0-rmse:3.68049	validation_0-mae:2.49321	validation_1-rmse:4.34158	validation_1-mae:2.84212
[102]	validation_0-rmse:3.67168	validation_0-mae:2.48786	validation_1-rmse:4.33631	validation_1-mae:2.83847
