Estimator,Train_RMSE,Train_MAE,Val_RMSE,Val_MAE,Train_MSE,Val_MSE
186,3.16413,2.1611,4.08047,2.64652,10.011718656900001,16.6502354209
187,3.15892,2.15791,4.07817,2.64486,9.978775566400001,16.6314705489
188,3.15391,2.1547,4.07566,2.64307,9.947148288100001,16.6110044356
189,3.14892,2.15136,4.07329,2.64128,9.9156971664,16.591691424100002
190,3.14366,2.1482,4.07111,2.63945,9.8825981956,16.5739366321
191,3.13863,2.14507,4.06893,2.63783,9.8509982769,16.5561913449
192,3.13245,2.14138,4.06597,2.63579,9.812243002499999,16.5321120409
193,3.12756,2.13831,4.06365,2.63416,9.781631553599999,16.5132513225
194,3.12259,2.13517,4.06144,2.63241,9.750568308100002,16.495294873600002
195,3.11741,2.13202,4.05911,2.63082,9.7182451081,16.476373992100005
196,3.11227,2.12904,4.05674,2.62936,9.6862245529,16.457139427599998
197,3.10755,2.12599,4.05478,2.62779,9.656867002499999,16.4412408484
198,3.10265,2.12286,4.05187,2.62597,9.626437022500001,16.417650496900002
199,3.09775,2.11973,4.04972,2.62427,9.5960550625,16.4002320784
200,3.0933,2.11697,4.04782,2.62292,9.568504890000002,16.384846752399998
201,3.08723,2.11342,4.04496,2.62099,9.530989072899999,16.361701401599998
202,3.08318,2.11084,4.04322,2.61976,9.5059989124,16.347627968399998
203,3.07794,2.10755,4.0407,2.61799,9.4737146436,16.32725649
204,3.07281,2.10445,4.03843,2.61634,9.4421612961,16.3089168649
205,3.06789,2.10123,4.03608,2.61458,9.411949052099999,16.289941766400002
206,3.06396,2.09859,4.03438,2.61314,9.387850881599999,16.276221984399996
207,3.05946,2.09558,4.03224,2.61158,9.3602954916,16.2589594176
208,3.05407,2.09237,4.02963,2.60995,9.3273435649,16.2379179369
209,3.04972,2.08948,4.02764,2.60832,9.3007920784,16.2218839696
210,3.04556,2.0867,4.02561,2.60674,9.2754357136,16.205535872100004
211,3.04154,2.08409,4.02405,2.6055,9.2509655716,16.1929784025
212,3.03706,2.0813,4.02207,2.60406,9.223733443599999,16.177047084900003
213,3.03269,2.07853,4.02062,2.60293,9.197208636100001,16.1653851844
214,3.02826,2.07575,4.01892,2.60178,9.170358627599999,16.151717966399996
215,3.02418,2.07318,4.01722,2.60042,9.145664672399999,16.1380565284
216,3.01971,2.07022,4.01533,2.59893,9.1186484841,16.122875008899996
217,3.01488,2.06712,4.01332,2.59727,9.089501414399999,16.106737422400002
218,3.01016,2.0643,4.01142,2.59595,9.0610632256,16.091490416400003
219,3.00593,2.06145,4.00953,2.59445,9.035615164900001,16.076330820899997
220,3.00095,2.05828,4.0071,2.59262,9.0057009025,16.056850410000003
221,2.99695,2.05568,4.00545,2.59124,8.9817093025,16.0436297025
222,2.99291,2.05306,4.00343,2.58982,8.957510268100002,16.0274517649
223,2.98864,2.05019,4.00171,2.58836,8.931969049600001,16.0136829241
224,2.98444,2.04762,3.99993,2.58714,8.906882113600002,15.9994400049
225,2.9801,2.04485,3.99809,2.58572,8.88099601,15.9847236481
226,2.97547,2.04206,3.99641,2.58446,8.8534217209,15.9712928881
227,2.97132,2.0397,3.99459,2.58336,8.8287425424,15.956749268100001
228,2.96692,2.03708,3.99283,2.5822,8.8026142864,15.9426914089
229,2.96273,2.03436,3.9912,2.58095,8.7777690529,15.92967744
230,2.95903,2.03187,3.98964,2.5798,8.755858540899998,15.917227329600001
231,2.95487,2.02918,3.98783,2.57842,8.7312567169,15.902788108900001
232,2.95001,2.02613,3.98542,2.57671,8.702559000099999,15.883572576399999
233,2.94563,2.02341,3.98366,2.57537,8.6767360969,15.8695469956
234,2.94206,2.0209,3.982,2.57416,8.655717043600001,15.856324000000003
235,2.9378,2.01807,3.98008,2.57272,8.63066884,15.8410368064
236,2.93369,2.01538,3.97821,2.57131,8.606537016099999,15.826154804099998
237,2.92969,2.01279,3.97652,2.57006,8.583083496099999,15.8127113104
238,2.92453,2.00973,3.97396,2.56844,8.5528757209,15.7923580816
239,2.92083,2.0073,3.97247,2.56739,8.5312478889,15.7805179009
240,2.91649,2.00462,3.97052,2.56604,8.5059139201,15.7650290704
241,2.91166,2.00181,3.96841,2.56459,8.477763955599999,15.7482779281
242,2.907,1.99881,3.96624,2.56295,8.450649,15.7310597376
243,2.90267,1.99608,3.9642,2.56157,8.425493128900001,15.71488164
244,2.89931,1.99372,3.96293,2.56058,8.405998476099999,15.7048141849
245,2.89533,1.99106,3.96112,2.55931,8.3829358089,15.690471654400001
246,2.89072,1.98846,3.95891,2.55813,8.3562621184,15.6729683881
247,2.88625,1.98581,3.95701,2.55682,8.3304390625,15.6579281401
248,2.88205,1.98315,3.95521,2.55549,8.3062122025,15.6436861441
249,2.87753,1.98025,3.95258,2.55392,8.280178900900001,15.622888656400002
