              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Wind Speed (avg)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  Wind Direction (max)°  Wind Direction (avg)°  Saline Concentration%  Road Condition Lufftlogic  Surface Temperature°F  Freezing Temperature°F  Sub Surface Temperature 1°F  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-08-01T04:01:00+00:00       67.579605                            0.0         0.000000          67.727394    56.608406             0.000000             0.000000                        995.653870                     0.000000             309.041565               0.000000                   85.0                        0.0              74.865456                    85.0                    79.793617              0.000000          85.0                                10.0
2023-08-01T04:11:00+00:00       69.611618                            0.0       220.594543          67.094429    56.824982             2.395843             0.729932                        995.777710                     0.000000             225.600922             221.752182                   85.0                        0.0              74.507629                    85.0                    81.388443              0.000000          85.0                                10.0
2023-08-01T04:21:00+00:00       72.776894                            0.0       143.626938          66.182396    57.183983             0.809388             1.538531                        995.971680                     0.000000             148.200073             183.554825                   85.0                        0.0              74.128830                    85.0                    81.395630              0.000000          85.0                                10.0
2023-08-01T04:31:00+00:00       71.419815                            0.0       203.401047          66.182396    56.661716             0.757323             0.000000                        995.851563                     0.000000             301.926880               0.000000                   85.0                        0.0              73.838684                    85.0                    81.424316              0.000000          85.0                                10.0
2023-08-01T04:41:00+00:00       70.500168                            0.0       320.838989          65.684143    55.825203             1.207073             0.000000                        995.844299                     0.000000             317.128571               0.000000                   85.0                        0.0              73.573380                    85.0                    81.682159              0.000000          85.0                                10.0
2023-08-01T04:51:00+00:00       70.267403                            0.0         0.000000          66.182396    56.211315             0.000000             0.000000                        995.963806                     0.000000             294.054626               0.000000                   85.0                        0.0              73.336662                    85.0                    81.996323              0.000000          85.0                                10.0
2023-08-01T05:01:00+00:00       68.490837                            0.0       256.506836          66.182396    55.504070             2.101948             1.637562                        995.866211                     0.000000             248.105347             279.002960                   85.0                        0.0              73.102127                    85.0                    82.003479              0.000000          85.0                                10.0
2023-08-01T05:11:00+00:00       69.418297                            0.0       260.173737          66.016815    55.716850             1.994091             1.833219                        995.783142                     0.000000             268.315887             259.585266                   85.0                        0.0              72.897812                    85.0                    81.875076              0.000000          85.0                                10.0
2023-08-01T05:21:00+00:00       67.948280                            0.0       270.566071          66.355301    55.449875             2.401809             2.830271                        995.833984                     0.000000             266.772797             265.234741                   85.0                        0.0              72.605865                    85.0                    83.524742              0.000000          85.0                                10.0
2023-08-01T05:31:00+00:00       68.182709                            0.0       258.253662          66.330505    55.521164             2.145859             1.403587                        995.757568                     0.000000             273.386414             266.166504                   85.0                        0.0              72.524948                    85.0                    79.543137              0.000000          85.0                                10.0
