              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Wind Speed (avg)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface Temperature°F  Freezing Temperature°F  Sub Surface Temperature 1°F  Water Film Heightmil
2023-07-01T04:03:00+00:00       90.041893                            0.0       238.749512          75.126877    72.003311             2.785825             2.392983             4.616834                        988.887024                     0.000000                    0.0  0.820000           0.0                                10.0              80.990044                   31.82                    80.057907              0.000000
2023-07-01T04:13:00+00:00       91.581558                            0.0       239.667801          74.618584    72.002670             2.527147             4.039626             6.006723                        988.938904                     0.000000                    0.0  0.820000           0.0                                10.0              80.764053                   31.82                    80.071800              0.000000
2023-07-01T04:23:00+00:00       92.763199                            0.0         0.000000          74.447311    72.212570             0.000000             1.925958             4.258694                        988.689514                     0.000000                    0.0  0.820000           0.0                                10.0              80.636391                   31.82                    80.078690              0.000000
2023-07-01T04:33:00+00:00       91.134552                            0.0       257.683502          74.958351    72.193832             1.715239             1.341316             3.170704                        988.576477                     0.000000                    0.0  0.820000           0.0                                10.0              80.487579                   31.82                    80.092529              0.000000
2023-07-01T04:43:00+00:00       91.608665                            0.0       214.590195          74.788910    72.179916             1.540851             1.480197             4.744321                        988.594788                     0.000000                    0.0  0.820000           0.0                                10.0              80.314041                   31.82                    80.099472              0.000000
2023-07-01T04:53:00+00:00       92.377602                            0.0       239.058426          74.618584    72.258850             3.261862             2.321547             3.628231                        988.373779                     0.000000                    0.0  0.820000           0.0                                10.0              80.020187                   31.82                    80.106415              0.000000
2023-07-01T05:03:00+00:00       94.185783                            0.0       223.299942          73.752930    71.974411             3.124425             2.818595             4.498826                        988.585205                     0.000000                    0.0  0.820000           0.0                                10.0              79.699860                   31.82                    80.113304              0.000000
2023-07-01T05:13:00+00:00       94.895882                            0.0       260.676086          73.576981    72.021881             2.820029             3.084224             4.536474                        988.268799                     0.000000                    0.0  0.820000           0.0                                10.0              79.429489                   31.82                    80.113304              0.000000
2023-07-01T05:23:00+00:00       93.948509                            0.0       259.851288          73.927948    72.073471             3.704452             2.997176             5.356797                        988.337646                     0.000000                    0.0  0.820000           0.0                                10.0              79.168777                   31.82                    80.113304              0.000000
2023-07-01T05:33:00+00:00       95.195213                            0.0       244.337875          73.061882    71.603119             3.419857             3.601204             5.078870                        988.271057                     0.000000                    0.0  0.820000           0.0                                10.0              78.855804                   31.82                    80.113304              0.000000
