              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Wind Speed (avg)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface Temperature°F  Freezing Temperature°F  Sub Surface Temperature 1°F  Water Film Heightmil
2023-06-01T04:03:00+00:00       70.438515                            0.0       144.027527          71.327835    61.209160             1.678240             2.468992             6.647360                        991.653687                     0.000000                    0.0  0.820000           0.0                                10.0              79.553757                   31.82                    76.908272              0.000000
2023-06-01T04:13:00+00:00       71.062912                            0.0       136.007019          71.156494    61.294395             2.252943             2.281523             6.071992                        991.765076                     0.000000                    0.0  0.820000           0.0                                10.0              79.207230                   31.82                    76.927826              0.000000
2023-06-01T04:23:00+00:00       72.003052                            0.0       143.809738          70.711380    61.238705             1.288071             3.086118             9.430889                        991.828796                     0.000000                    0.0  0.820000           0.0                                10.0              78.789108                   31.82                    76.947342              0.000000
2023-06-01T04:33:00+00:00       73.860352                            0.0        28.473160          69.929276    61.206024             0.889694             1.640507             6.959676                        991.709900                     0.000000                    0.0  0.820000           0.0                                10.0              78.410271                   31.82                    76.960388              0.000000
2023-06-01T04:43:00+00:00       72.263741                            0.0       121.517944          70.461273    61.100517             3.718010             2.732730             7.982608                        991.815125                     0.000000                    0.0  0.820000           0.0                                10.0              78.166634                   31.82                    76.973404              0.000000
2023-06-01T04:53:00+00:00       73.474953                            0.0       145.817688          70.107635    61.229988             2.886075             2.586352             7.124162                        991.786377                     0.000000                    0.0  0.820000           0.0                                10.0              77.913269                   31.82                    76.986755              0.000000
2023-06-01T05:03:00+00:00       72.884438                            0.0       122.734543          70.284958    61.172615             0.897915             1.578130             7.345911                        991.804260                     0.000000                    0.0  0.820000           0.0                                10.0              77.724701                   31.82                    76.993622              0.000000
2023-06-01T05:13:00+00:00       72.139847                            0.0         7.740698          70.636566    61.220467             2.669000             1.475397             7.392645                        991.839722                     0.000000                    0.0  0.820000           0.0                                10.0              77.602539                   31.82                    77.000443              0.000000
2023-06-01T05:23:00+00:00       76.238434                            0.0        25.098272          69.407425    61.598541             1.048754             2.123996             6.311342                        991.758667                     0.000000                    0.0  0.820000           0.0                                10.0              77.380363                   31.82                    77.007309              0.000000
2023-06-01T05:33:00+00:00       75.394402                            0.0         0.000000          69.407425    61.283592             0.000000             1.704128             5.622090                        991.794739                     0.000000                    0.0  0.820000           0.0                                10.0              77.155350                   31.82                    77.007309              0.000000
