              MeasureTime  Rel. Humidity%  Wind Direction�  Brightnesslx  Air Temperature�F  Wind Speed (act)mph  Precipitation Intensityin/h  Visibilitymiles  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface Temperature�F  Freezing Temperature�F  Sub Surface Temperature 3�F  Water Film Heightmil  ground temperature (0")�F  ground temperature (3")�F  ground temperature (6")�F  ground temperature (9")�F  ground temperature (12")�F  ground temperature (18")�F  ground temperature (24")�F  ground temperature (30")�F  ground temperature (36")�F  ground temperature (42")�F
2023-11-01T04:00:00+00:00       67.812885         0.581044           0.0          27.909345                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              30.208683                    85.0                         84.0              0.000000                        40.0                   41.540001                   43.285999                   44.905998                    46.472000                    47.354000                    49.369999                    50.756001                    52.034000                    52.970001
2023-11-01T04:10:00+00:00       68.298236         0.581044           0.0          27.565934                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              30.088804                    85.0                         84.0              0.000000                        40.0                   41.557999                   43.285999                   44.905998                    46.472000                    47.354000                    49.369999                    50.737999                    52.034000                    52.970001
2023-11-01T04:20:00+00:00       68.145605         0.574863           0.0          27.560440                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.996506                    85.0                         84.0              0.000000                        40.0                   41.486000                   43.267998                   44.905998                    46.489998                    47.335999                    49.316002                    50.737999                    52.015999                    52.970001
2023-11-01T04:30:00+00:00       67.330591         0.587225           0.0          27.579673                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.865997                    85.0                         84.0              0.000000                        40.0                   41.431999                   43.267998                   44.869999                    46.436001                    47.318001                    49.316002                    50.720001                    51.998001                    52.933998
2023-11-01T04:39:00+00:00       67.045178         0.587225           0.0          27.475275                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.811096                    85.0                         84.0              0.000000                        40.0                   41.431999                   43.267998                   44.869999                    46.436001                    47.318001                    49.334000                    50.702000                    51.980000                    52.952000
2023-11-01T04:49:00+00:00       67.425220         0.581044           0.0          27.299455                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.730709                    85.0                         84.0              0.000000                        40.0                   41.414001                   43.250000                   44.851997                    46.417999                    47.335999                    49.334000                    50.720001                    51.998001                    52.933998
2023-11-01T05:00:00+00:00       67.835779         0.581044           0.0          27.021979                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.552273                    85.0                         84.0              0.000000                        40.0                   41.377998                   43.214001                   44.851997                    46.453999                    47.281998                    49.262001                    50.702000                    51.961998                    52.933998
2023-11-01T05:00:00+00:00       67.835779         0.581044           0.0          27.021979                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.552273                    85.0                         84.0              0.000000                        40.0                   41.377998                   43.214001                   44.851997                    46.453999                    47.281998                    49.262001                    50.702000                    51.961998                    52.933998
2023-11-01T05:09:00+00:00       67.585474         0.581044           0.0          26.865387                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.484051                    85.0                         84.0              0.000000                        40.0                   41.360001                   43.214001                   44.798000                    46.400002                    47.299999                    49.279999                    50.702000                    51.961998                    52.952000
2023-11-01T05:20:00+00:00       67.136755         0.574863           0.0          26.989014                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              29.364283                    85.0                         84.0              0.000000                        40.0                   41.306000                   43.195999                   44.815998                    46.363998                    47.318001                    49.279999                    50.702000                    51.944000                    52.933998
