              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Saline Concentration%  Road Condition Lufftlogic  Friction  Ice Percent%  Surface Temperature°F  Freezing Temperature°F  Water Film Heightmil  Road Condition Lufft IRS31Prologic  Sub Surface Temperature 1°F
2023-06-01T04:09:00+00:00             0.0                     137.142532         1.902702                0.0          0.0                241.0                  0.0                               0.0             4.424880                          0.0              83.135132                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T04:19:00+00:00             0.0                     129.739349         1.809851                0.0          0.0                241.0                  0.0                               0.0             4.724992                          0.0              82.703720                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T04:29:00+00:00             0.0                     134.259033         1.809674                0.0          0.0                241.0                  0.0                               0.0             5.696559                          0.0              82.318214                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T04:39:00+00:00             0.0                     114.866394         1.382637                0.0          0.0                241.0                  0.0                               0.0             5.539817                          0.0              81.948242                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T04:49:00+00:00             0.0                     121.411743         1.348188                0.0          0.0                241.0                  0.0                               0.0             1.831017                          0.0              81.591087                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T04:59:00+00:00             0.0                     121.983986         1.426488                0.0          0.0                241.0                  0.0                               0.0             4.218296                          0.0              81.261230                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T05:09:00+00:00             0.0                     118.842239         1.156471                0.0          0.0                241.0                  0.0                               0.0             2.542885                          0.0              80.987862                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T05:19:00+00:00             0.0                     118.274483         0.983569                0.0          0.0                241.0                  0.0                               0.0             1.677198                          0.0              80.713608                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T05:29:00+00:00             0.0                     113.107864         0.990862                0.0          0.0                241.0                  0.0                               0.0             2.237375                          0.0              80.417618                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
2023-06-01T05:39:00+00:00             0.0                     121.289536         0.935624                0.0          0.0                241.0                  0.0                               0.0             2.052788                          0.0              80.106705                        0.0       0.0           0.0                    0.0                     0.0                   0.0                                 0.0                          0.0
