              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Wind Speed (avg)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  wind direction max°  wind direction avg°  Saline Concentration%  Road Condition Lufftlogic  Friction  Ice Percent%  Surface Temperature°F  Freezing Temperature°F  Water Film Heightmil  ICE Layer Thicknessmil  NIRS Service Level%  SubSurface Temp 0"°F  SubSurface Temp -3"°F  SubSurface Temp -6"°F  SubSurface Temp -9"°F  SubSurface Temp -12"°F  SubSurface Temp -18"°F  SubSurface Temp -24"°F  SubSurface Temp -30"°F  SubSurface Temp -36"°F  SubSurface Temp -42"°F  SubSurface Temp -48"°F  SubSurface Temp -54"°F  SubSurface Temp -60"°F  SubSurface Temp -66"°F  SubSurface Temp -72"°F
2023-01-01T05:05:00+00:00       96.534538                           70.0       173.076477          25.869444    25.019527             0.000000             2.980300             8.534705                        951.010559                     2.755905           154.570435           153.496902               0.000000                        8.0  0.113640    100.000000              28.400000               32.000000              0.000000               26.025202                -19.0             29.534000              29.822001              29.840000              30.236000               30.596001               31.549999               32.414001               33.278000               34.501999               35.528000               36.410000               37.507999               38.389999               39.470001               40.388000
2023-01-01T05:15:00+00:00       96.491722                           70.0       155.446960          25.945734    25.084846             0.000000             2.708238             7.373622                        951.020203                     1.574803           153.644058           154.412598               0.000000                        8.0  0.112928    100.000000              28.580000               32.000000              0.000000               26.579876                -19.0             29.516001              29.822001              29.840000              30.254000               30.577999               31.532000               32.431999               33.278000               34.447998               35.528000               36.374001               37.472000               38.408001               39.470001               40.405998
2023-01-01T05:25:00+00:00       96.250267                            0.0       162.234772          26.022057    25.100580             0.000000             3.044947             7.321868                        950.914063                     0.787402           167.822021           153.861908               0.000000                        8.0  0.110799    100.000000              28.580000               32.000000              0.000000               27.789560                -19.0             29.516001              29.840000              29.804001              30.254000               30.559999               31.532000               32.414001               33.278000               34.484001               35.528000               36.338001               37.489998               38.408001               39.433998               40.424000
2023-01-01T05:35:00+00:00       96.076546                            0.0       135.618256          26.158072    25.192528             0.000000             2.694342             7.953221                        950.921814                     0.000000           131.252411           159.374847               0.000000                        8.0  0.110166    100.000000              28.580000               32.000000              0.000000               28.213121                -19.0             29.516001              29.840000              29.858000              30.254000               30.559999               31.568001               32.450001               33.278000               34.447998               35.509998               36.391998               37.489998               38.408001               39.487999               40.405998
2023-01-01T05:45:00+00:00       95.944580                            0.0       170.628403          26.211761    25.212885             0.000000             2.219369             5.776687                        950.813904                     0.000000           145.970596           148.463745               0.000000                        8.0  0.109134    100.000000              28.580000               32.000000              0.000000               28.897617                -19.0             29.498001              29.840000              29.858000              30.254000               30.559999               31.496000               32.396000               33.278000               34.484001               35.528000               36.355999               37.472000               38.425999               39.433998               40.405998
2023-01-01T05:55:00+00:00       95.902435                            0.0       133.563492          26.292166    25.282341             0.000000             2.618333             6.043631                        950.666016                     0.000000           162.054321           143.423004               0.000000                        8.0  0.109558    100.000000              28.580000               32.000000              0.000000               28.596899                -19.0             29.534000              29.804001              29.840000              30.254000               30.559999               31.532000               32.414001               33.296001               34.466000               35.509998               36.338001               37.507999               38.372002               39.487999               40.388000
2023-01-01T06:05:00+00:00       95.818039                            0.0       185.886658          26.295298    25.264259             0.000000             3.107943             6.998685                        950.615723                     0.000000           170.843826           156.058090               0.000000                        8.0  0.108764    100.000000              28.400000               32.000000              0.000000               28.928009                -19.0             29.516001              29.840000              29.840000              30.254000               30.542000               31.514000               32.431999               33.278000               34.447998               35.509998               36.374001               37.507999               38.408001               39.470001               40.369999
2023-01-01T06:15:00+00:00       95.884911                            0.0       139.754990          26.351810    25.337305             0.000000             2.462898             6.626329                        950.570496                     0.000000           173.688843           155.329300               0.000000                        8.0  0.108966    100.000000              28.580000               32.000000              0.000000               29.117069                -19.0             29.516001              29.858000              29.858000              30.271999               30.559999               31.549999               32.450001               33.278000               34.466000               35.492001               36.374001               37.489998               38.408001               39.470001               40.334000
2023-01-01T06:25:00+00:00       95.958824                            0.0       146.299973          26.290545    25.294880             0.000000             2.830897             8.110613                        950.626648                     0.000000           165.554703           156.239136               0.000000                        8.0  0.107459    100.000000              28.580000               32.000000              0.000000               30.237484                -19.0             29.552000              29.804001              29.875999              30.254000               30.559999               31.532000               32.450001               33.296001               34.466000               35.546001               36.391998               37.472000               38.389999               39.470001               40.388000
2023-01-01T06:35:00+00:00       96.045166                            0.0       158.345093          26.298382    25.324341             1.158874             3.865925             8.838382                        950.617249                     0.787402           119.152534           156.607758               0.000000                        8.0  0.107288    100.000000              28.400000               32.000000              0.000000               30.265636                -19.0             29.552000              29.785999              29.840000              30.254000               30.577999               31.532000               32.431999               33.332001               34.466000               35.492001               36.374001               37.507999               38.372002               39.452000               40.388000
2023-01-01T06:45:00+00:00       96.031998                            0.0       156.785004          26.381771    25.404051             0.000000             3.746867            12.347420                        950.614197                     0.000000           165.729492           165.911331               0.000000                        8.0  0.106893    100.000000              28.400000               32.000000              0.000000               30.618958                -19.0             29.534000              29.822001              29.840000              30.254000               30.559999               31.532000               32.431999               33.296001               34.466000               35.546001               36.391998               37.489998               38.408001               39.433998               40.388000
