              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Wind Direction (max)°  Saline Concentration%  Road Condition Lufftlogic  Friction  Surface Temperature°F  Freezing Temperature°F  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-06-01T04:00:00+00:00       65.221199                            0.0       155.808090          73.525536    61.130001             1.014869                        987.220276             2.547554                     0.000000             158.292618                   85.0                        0.0  0.820000              79.731323                    85.0              0.000000          85.0                                10.0
2023-06-01T04:10:00+00:00       66.665031                            0.0       134.415039          73.048203    61.295280             1.048259                        987.331421             1.666233                     0.000000             155.503616                   85.0                        0.0  0.820000              79.417763                    85.0              0.000000          85.0                                10.0
2023-06-01T04:20:00+00:00       71.597748                            0.0        66.377151          72.527802    62.822762             2.548527                        987.355164             1.780106                     0.000000              69.208641                   85.0                        0.0  0.820000              79.138046                    85.0              0.000000          85.0                                10.0
2023-06-01T04:30:00+00:00       78.423752                            0.0        57.553242          72.192764    65.103500             2.695442                        987.488159             2.885639                     0.000000              78.531143                   85.0                        0.0  0.820000              78.782707                    85.0              0.000000          85.0                                10.0
2023-06-01T04:40:00+00:00       78.697731                            0.0        43.459858          71.250076    64.288406             2.498595                        987.528748             2.506519                     0.000000              44.885464                   85.0                        0.0  0.820000              78.406464                    85.0              0.000000          85.0                                10.0
2023-06-01T04:50:00+00:00       78.501945                            0.0        30.198601          71.086426    64.058228             3.151133                        987.738770             3.093111                     0.000000              46.768639                   85.0                        0.0  0.820000              78.069092                    85.0              0.000000          85.0                                10.0
2023-06-01T05:00:00+00:00       76.411644                            0.0        34.202061          70.997650    63.201500             1.484231                        987.845642             2.187428                     0.000000              37.892033                   85.0                        0.0  0.820000              77.899887                    85.0              0.000000          85.0                                10.0
2023-06-01T05:00:00+00:00       76.411644                            0.0        34.202061          70.997650    63.201500             1.484231                        987.845642             2.187428                     0.000000              37.892033                   85.0                        0.0  0.820000              77.899887                    85.0              0.000000          85.0                                10.0
2023-06-01T05:10:00+00:00       76.914711                            0.0       103.789841          71.300026    63.681427             1.406351                        987.911987             1.635352                     0.000000              95.691284                   85.0                        0.0  0.820000              77.757507                    85.0              0.000000          85.0                                10.0
2023-06-01T05:20:00+00:00       76.945541                            0.0        66.858627          71.314880    63.707245             2.573765                        987.845398             1.013611                     0.000000              86.637978                   85.0                        0.0  0.820000              77.553650                    85.0              0.000000          85.0                                10.0
