Epoch,Learning Rate,Train Loss,Train MAE,Val Loss,Val MAE
0,0.0005,1067.1970143540566,24.552331180156614,219.06789251120694,10.668927671823157
1,0.0005,162.9344443812795,9.899921794720377,138.74511626829585,9.165844597873917
2,0.0005,129.4034982146385,8.918230185286339,98.36652948770178,7.64639594296375
3,0.0005,77.21149392708513,6.698026882959524,54.995048982551296,5.589350748062134
4,0.0005,57.16273774297796,5.691634951469611,45.39752265286733,4.92513860794435
5,0.00035,49.67631256500928,5.2350844546999085,42.41142997052296,4.619093470401075
6,0.00035,47.12576839232141,5.064252666817659,42.41755005250494,4.6922007750315835
7,0.00035,42.99199744732289,4.784614367603462,39.1242995710258,4.467261613707945
8,0.00035,40.66174554276076,4.6084805336379775,37.078027660875435,4.283718565285924
9,0.00035,39.20165052246426,4.513294946779127,35.424558347679046,4.2421884375882435
10,0.000245,36.00517253887285,4.271835401807677,35.217891959684444,4.147470202503434
11,0.000245,34.96151928812139,4.202138841260497,32.46720561291798,3.8984059138470384
12,0.000245,34.232070400092475,4.140469829506184,31.318563525648003,3.8544000275163763
13,0.000245,33.42226322227214,4.08052586310564,30.589688595231756,3.693818204948701
14,0.000245,32.960723159531256,4.038975418444332,29.921258489769624,3.711957581646471
15,0.0001715,31.044132280609666,3.892138328067033,29.225597126512643,3.6142599732042795
16,0.0001715,30.69076432147797,3.8603039772708367,28.418298015824284,3.5575428727161453
17,0.0001715,30.29660466481237,3.8358976130482647,28.525037267983677,3.528129246723221
18,0.0001715,29.938651796545425,3.804587593950841,27.798307388949105,3.4826168129243045
19,0.0001715,29.760023959256316,3.7805842798742506,28.61558017271111,3.576173504289374
20,0.00012004999999999999,28.447235562597744,3.6784004099364718,27.921581553263838,3.52414232851511
21,0.00012004999999999999,28.137091855581133,3.6520611247750647,26.799429332779116,3.423578769040395
22,0.00012004999999999999,28.02562658285676,3.646023370077363,26.317109746818083,3.360547516144902
23,0.00012004999999999999,27.76156423858698,3.6241437652340664,27.127147457398564,3.4712655894727593
24,0.00012004999999999999,27.4617602222981,3.603483252349151,26.437767179328276,3.321886031024427
25,8.403499999999999e-05,26.60753178033303,3.5392392953910803,26.43645363543407,3.4055225607860518
26,8.403499999999999e-05,26.335811413395845,3.517259656408207,25.58296159836183,3.2939094566437137
27,8.403499999999999e-05,26.30453959701279,3.504933048276595,25.69238181631249,3.3065329092094697
28,8.403499999999999e-05,26.00013807193934,3.4901795200980987,26.05600023844156,3.3563834787851357
29,8.403499999999999e-05,25.87366600775993,3.4826708745407666,25.807883916418238,3.3273572812597436
30,5.882449999999999e-05,25.222770596185935,3.422764871425155,25.045574690347696,3.2413648361183074
31,5.882449999999999e-05,25.266806294021283,3.4235097299121784,25.032986576585884,3.227645687597344
32,5.882449999999999e-05,25.00505820857186,3.405364979692548,24.60813900131777,3.2386101418230906
33,5.882449999999999e-05,24.969308667728786,3.4055478497752993,24.353254669832896,3.18651224015707
34,5.882449999999999e-05,24.877238804177757,3.399819113210358,24.62755282988031,3.211757320093821
35,4.117714999999999e-05,24.477805940834845,3.3619964100388886,24.340434604093254,3.1537695876087053
36,4.117714999999999e-05,24.36819203444353,3.3537056432356622,24.425749370850713,3.191469287297812
37,4.117714999999999e-05,24.18899213090801,3.338834358590217,24.999636633999376,3.3115725867719537
38,4.117714999999999e-05,24.020708462745763,3.332010239994504,24.542265250883908,3.223192021358444
39,4.117714999999999e-05,24.116311398511364,3.329732944285198,23.998681560194637,3.1559109340231104
40,2.8824004999999994e-05,23.75309130583728,3.308632383557394,24.19227039038417,3.174591134255191
41,2.8824004999999994e-05,23.728730409958377,3.3029250136149573,23.935452111945096,3.151993225281497
42,2.8824004999999994e-05,23.632509412944568,3.2969562179893526,24.131501005931074,3.190662120623761
43,2.8824004999999994e-05,23.63616894693681,3.2967554787156943,23.834273471602476,3.142112463066377
44,2.8824004999999994e-05,23.442862368005468,3.279285689327372,23.701440386025304,3.1341834964522395
45,2.0176803499999996e-05,23.2932801110899,3.2660413088038935,24.018148091327713,3.1877085728817676
46,2.0176803499999996e-05,23.199642912681576,3.2569053760808138,23.573022718314665,3.1225157976150513
47,2.0176803499999996e-05,23.15459461576068,3.2597170512218465,23.83256596484816,3.1450741311153734
48,2.0176803499999996e-05,23.254386433394007,3.2642334706851166,23.58617066877434,3.1246449619890697
49,2.0176803499999996e-05,23.002315481094648,3.248200290351835,23.43862060983497,3.1040760344769582
50,1.4123762449999997e-05,22.929270048274336,3.235217569236825,23.441374288122336,3.11636821706611
51,1.4123762449999997e-05,22.86369854865256,3.2373598019041343,23.54815307755068,3.1283506344599896
52,1.4123762449999997e-05,22.881000726458378,3.241103840841805,23.467664326817157,3.1134980445884795
53,1.4123762449999997e-05,22.8264131453599,3.23039782119476,23.498456795244334,3.132656494393406
54,1.4123762449999997e-05,22.792086752597523,3.230397600466233,23.31918833284493,3.102950535337609
55,9.886633714999997e-06,22.760716294173687,3.2206480790455365,23.447385278954563,3.118509170233485
56,9.886633714999997e-06,22.52577780753031,3.218114164653942,23.37985119187688,3.1148524600339225
57,9.886633714999997e-06,22.666606771953173,3.2197283207467655,23.267067894303654,3.0935331290026746
58,9.886633714999997e-06,22.691844199658306,3.2157139838788815,23.273079009228443,3.102331521137651
59,9.886633714999997e-06,22.725321946759284,3.22220645544386,23.17435039612184,3.086487794496927
60,6.920643600499998e-06,22.608452349847045,3.209914931956383,23.196795793326505,3.0987665906009902
61,6.920643600499998e-06,22.461216389952394,3.21239653188196,23.14335932444377,3.087341278145112
62,6.920643600499998e-06,22.526766898630605,3.2146088540517943,23.128455879027584,3.0943261876163715
63,6.920643600499998e-06,22.43030728953019,3.204184072440787,23.055235041193214,3.071604836417968
64,6.920643600499998e-06,22.54060011412576,3.2091111615525816,23.071852968974287,3.0783262652086925
65,4.844450520349998e-06,22.539301751816655,3.2098084600819448,23.120940019998205,3.0806650506444724
